限制ID（0-599为个人日限制(201-220为刷新商店专用，221-400为商品购买专用)600-679 周次数限制，680-699 月次数限制，700-749为小时限制，750-900为新增日次数限制，901~950为新增周次数限制，951~999新增月次数限制，帮派次数限制(日次数限制1000-1099，周次数限制1100-1149，月次数限制1150-1200)）	有效标志位	vip等级	次数限制	回复次数	是否客户端可见	名字	备注
[C][S]restrict_id	[S]valid	[C][S]vip_level	[C][S]nor_num	[C][S]back_num	[C][S]if_visible	[C]name	0
1	1	0	4	4	1	0	剑池任务每天做3次
2	1	0	1	1	1	0	帮派任务每天完成1轮
3	1	0	999	999	1	0	全服冲级领取魂玉计数
4	1	0	3	3	1	0	剑池采剑池每天3次
5	1	0	1	0	0	0	首次打开武器盒必的上品蓝武
6	1	0	4	4	1	0	剑池的复活次数计数
6	1	1	4	4	1	0	剑池的复活次数计数
6	1	2	4	4	1	0	剑池的复活次数计数
6	1	3	4	4	1	0	剑池的复活次数计数
6	1	4	12	12	1	0	剑池的复活次数计数
6	1	5	12	12	1	0	剑池的复活次数计数
6	1	6	12	12	1	0	剑池的复活次数计数
6	1	7	12	12	1	0	剑池的复活次数计数
6	1	8	20	20	1	0	剑池的复活次数计数
6	1	9	20	20	1	0	剑池的复活次数计数
6	1	10	20	20	1	0	剑池的复活次数计数
6	1	11	20	20	1	0	剑池的复活次数计数
6	1	12	50	50	1	0	剑池的复活次数计数
6	1	13	50	50	1	0	剑池的复活次数计数
6	1	14	50	50	1	0	剑池的复活次数计数
6	1	15	50	50	1	0	剑池的复活次数计数
6	1	16	60	60	1	0	剑池的复活次数计数
6	1	17	60	60	1	0	剑池的复活次数计数
6	1	18	70	70	1	0	剑池的复活次数计数
6	1	19	70	70	1	0	剑池的复活次数计数
6	1	20	80	80	1	0	剑池的复活次数计数
7	1	0	10000	10000	1	0	每日必做任务计数
8	1	0	1	1	1	0	剑池小循环每天做1次
9	1	0	999	999	1	0	离线竞技场每日经验奖励次数
10	1	0	1	1	1	0	蓝武必掉1次职业2
11	1	0	1	1	1	0	蓝武必掉1次职业3
12	1	0	1	1	1	0	蓝武必掉1次职业4
13	1	0	1	1	1	0	每人每日只能参与1次关碑大会(没用，用的是41)
14	1	0	999	0	1	青铜抽奖次数	青铜抽奖
15	1	0	999	0	1	白银抽奖次数	白银抽奖
16	1	0	999	0	1	宝物抽奖次数	夺宝抽奖
17	1	0	0	0	1	0	白银抽奖每日购买0次
17	1	1	0	0	1	0	白银抽奖每日购买0次
17	1	2	4	4	1	0	白银抽奖每日购买4次
17	1	3	5	5	1	0	白银抽奖每日购买5次
17	1	4	6	6	1	0	白银抽奖每日购买6次
17	1	5	7	7	1	0	白银抽奖每日购买7次
17	1	6	8	8	1	0	白银抽奖每日购买8次
17	1	7	9	9	1	0	白银抽奖每日购买9次
17	1	8	10	10	1	0	白银抽奖每日购买10次
17	1	9	11	11	1	0	白银抽奖每日购买11次
17	1	10	12	12	1	0	白银抽奖每日购买12次
17	1	11	13	13	1	0	白银抽奖每日购买13次
17	1	12	14	14	1	0	白银抽奖每日购买14次
17	1	13	15	15	1	0	白银抽奖每日购买15次
17	1	14	17	17	1	0	白银抽奖每日购买17次
17	1	15	20	20	1	0	白银抽奖每日购买20次
17	1	16	22	22	1	0	白银抽奖每日购买22次
17	1	17	25	25	1	0	白银抽奖每日购买25次
17	1	18	27	27	1	0	白银抽奖每日购买27次
17	1	19	30	30	1	0	白银抽奖每日购买30次
17	1	20	35	35	1	0	白银抽奖每日购买35次
18	1	0	20	20	1	0	剑池击杀奖励每日20次
19	1	0	2	2	1	0	秘境，开服宝箱活动---每日2次
20	1	0	2	2	1	0	归墟，开服宝箱活动---每日2次
21	1	0	1	1	1	0	日常礼包的次数限制ID
22	1	0	1	1	1	0	5连胜奖励的次数限制ID
23	1	0	1	1	1	0	10连胜奖励的次数限制ID
24	1	0	4	4	1	0	地宫魔像、帮派攻防每天付费复活
24	1	1	4	4	1	0	地宫魔像、帮派攻防每天付费复活
24	1	2	4	4	1	0	地宫魔像、帮派攻防每天付费复活
24	1	3	12	12	1	0	地宫魔像、帮派攻防每天付费复活
24	1	4	12	12	1	0	地宫魔像、帮派攻防每天付费复活
24	1	5	16	16	1	0	地宫魔像、帮派攻防每天付费复活
24	1	6	16	16	1	0	地宫魔像、帮派攻防每天付费复活
24	1	7	20	20	1	0	地宫魔像、帮派攻防每天付费复活
24	1	8	20	20	1	0	地宫魔像、帮派攻防每天付费复活
24	1	9	30	30	1	0	地宫魔像、帮派攻防每天付费复活
24	1	10	30	30	1	0	地宫魔像、帮派攻防每天付费复活
24	1	11	40	40	1	0	地宫魔像、帮派攻防每天付费复活
24	1	12	40	40	1	0	地宫魔像、帮派攻防每天付费复活
24	1	13	50	50	1	0	地宫魔像、帮派攻防每天付费复活
24	1	14	50	50	1	0	地宫魔像、帮派攻防每天付费复活
24	1	15	50	50	1	0	地宫魔像、帮派攻防每天付费复活
24	1	16	60	60	1	0	地宫魔像、帮派攻防每天付费复活
24	1	17	60	60	1	0	地宫魔像、帮派攻防每天付费复活
24	1	18	70	70	1	0	地宫魔像、帮派攻防每天付费复活
24	1	19	70	70	1	0	地宫魔像、帮派攻防每天付费复活
24	1	20	80	80	1	0	地宫魔像、帮派攻防每天付费复活
25	1	0	10	10	1	0	帮派目标每天可完成10次（帮派任务）
26	1	0	2	2	1	0	夺宝奇兵一天2次
27	1	0	1	1	1	0	上古遗迹（经验）一天1次
27	1	1	1	1	1	0	上古遗迹（经验）一天1次
27	1	2	1	1	1	0	上古遗迹（经验）一天1次
27	1	3	1	1	1	0	上古遗迹（经验）一天1次
27	1	4	1	1	1	0	上古遗迹（经验）一天1次
27	1	5	2	2	1	0	上古遗迹（经验）一天2次
27	1	6	2	2	1	0	上古遗迹（经验）一天2次
27	1	7	2	2	1	0	上古遗迹（经验）一天2次
27	1	8	2	2	1	0	上古遗迹（经验）一天2次
27	1	9	2	2	1	0	上古遗迹（经验）一天2次
27	1	10	2	2	1	0	上古遗迹（经验）一天2次
27	1	11	2	2	1	0	上古遗迹（经验）一天2次
27	1	12	2	2	1	0	上古遗迹（经验）一天2次
27	1	13	2	2	1	0	上古遗迹（经验）一天2次
27	1	14	2	2	1	0	上古遗迹（经验）一天2次
27	1	15	2	2	1	0	上古遗迹（经验）一天2次
27	1	16	2	2	1	0	上古遗迹（经验）一天2次
27	1	17	2	2	1	0	上古遗迹（经验）一天2次
