id	valid	name	pro	level	等级系数（关联world_civ_mod)	模型路径	模型名字	"npc功能类型,服务器没用(1对话npc，2战斗npc，3服务器采集，4动态障碍，5陷阱，6客户端采集)"	AI_ID（服务器战斗AI）	公共掉落ID1	公共掉落ID2	公共掉落ID3	单人掉落ID	出生时间	出生表现（技能id）	行为ID（NPC_BASE_ACTION）	缩放scale	reserve_1(0小兵1基地2普通塔3安全塔)	reserve_2(碰撞触发事件)	reserve_3(用来更新哪一个任务ID进度，默认第一条进度，为0，则不更新)	reserve_4(NPC动态血量机制触发时的玩家数量下限)	reserve_5(NPC动态血量控制触发后每增减一个玩家的血量百分比变化，总血量暂时程序写死最多3倍)	reserve_6(特殊NPC位域：0正常npc，1该npc不能被机器人攻击，2经验宝宝，但是只是触发一次掉落，4出现和消失是否需要全地图通知，8不攻击NPC的NPC，16是否属于家族掉落，32是否有采集累计次数，64是否属于个人独占掉落)	reserve_7（攻击指定NPC，需要两个NPC间都这里有配置，以三位数来代表，表示只打和我相同十位和个位的怪物。百位没有数字：打任何怪物，十位和个位为被固定打怪NPC的匹配参数，例如A配了23，B配了123，则B可以打A，但是A不能打B）	reserve_8(客户端触发的服务器事件ID，检测用)	reserve_9(黑户触发事件)	reserve_10（虚拟血量计算方式，1默认计算正常血量，2只按虚拟血量计算，3虚拟血量和正常血量同时扣除）	客户端AI	缩放前的被击范围（缩放后的是就是乘缩放倍数）	死亡表现（技能ID）	出生自带buff（buffID）(客户端服务器都有效)	buff持续时间（服务器有效）	NPC血量变化自动全地图广播【最大血量百分比】，配置100以下为服务器主动广播，100以上则需要客户端主动拉取	npc类别（0为非专属，1为个人专属，2为队伍专属，3为帮派专属）	reserve_11（预留字段）	reserve_12（预留字段）	reserve_13（预留字段）	reserve_14（预留字段）	reserve_15（预留字段）	收集的任务ID	任务的第几个条件	血条UI	死亡灰尘延迟（早填负值）	步伐速度	"hud类型（0无hud，1角色hud，2NPChud,3NPC大血条与血条显示互斥）"	血条缩放	死亡音效	出生音效	被击音效	点击音效1	点击音效2	点击音效3	是否显示名字（0不显示，1显示）	是否可以被击浮空（1不击飞）	npc称号	npc血条显示(0不显示，1显示)	npc是否跟随玩家点击而旋转(0旋转，1不旋转)	npc品质（1绿，2蓝，3紫，4橙）	npc专属名字（显示在称号下）	低端机模型路径	低端机模型名字	展示模型名字	展示模型名字（ioS点击问题，标1会有虚拟框）
[K][C][S]id	0	[C][S]name	[C][S]pro	[C][S]level	[S]world_level	[C][S]modelPath	[C][S]model	[C][S]functype	server	server	server	server	server	[C][S]borntime	[C][S]bornskill	[C][S]baseaction	[C]scale	server	server	server	server	server	server	server	server	server	server	[C][S]aiid	[C][S]bodyrange	[C]dieskill	[C][S]bornbuff	server	server	[C][S]tips_type	server	server	server	server	server	[C][S]collect_task_id	[C][S]collect_task_target_index	[C]showhp	[C]deaddustoffset	[C]runAnimationRunSpeed	[C]hudtype	[C]hudscale	[C]diesound	[C]bornsound	[C]hurtsound	[C]sound1	[C]sound2	[C]sound3	[C]showname	[C]performanceHard	[C]functionName	[C]showHudHp	[C]notLookAtLocalChar	[C]tips_pro	[C]tip_name	[C][S]s_modelPath	[C][S]s_model	[C]model_lod4	[C]pickhelp
11	1	昆仑男	1001	1	0	npc/human/tang	xinJianNan	1	0	0	0	0	0	500	0	11	1	0	0	0	0	0	0	0	0	0	1	1	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	npc/human/ccs	s_yanchensheng	xinJianNan	0
21	1	琉璃	1001	1	0	npc/human/luoluo	xinyuling	1	0	0	0	0	0	500	0	21	1	0	0	0	0	0	0	0	0	0	1	1	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	npc/human/nvzhu	s_yinyi	xinyuling	0
31	1	乾坤	1001	1	0	npc/human/xuanyuanpo	xindaoke	1	0	0	0	0	0	500	0	31	1	0	0	0	0	0	0	0	0	0	1	1	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	npc/human/ccs	s_yanchensheng	xindaoke	0
41	1	凤鸣	1001	1	0	npc/human/xuyourong	xingongshou	1	0	0	0	0	0	500	0	31	1	0	0	0	0	0	0	0	0	0	1	1	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	npc/human/nvzhu	s_yinyi	xingongshou	0
111	1	昆仑男	1001	1	0	actors/nan	xinJianNan_Local	1	0	0	0	0	0	500	0	11	1	0	0	0	0	0	0	0	0	0	1	1	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	actors/nan	xinJianNan_Local	xinJianNan_Local	0
121	1	琉璃	1001	1	0	actors/yuling	xinyuling_Local	1	0	0	0	0	0	500	0	21	1	0	0	0	0	0	0	0	0	0	1	1	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	actors/yuling	xinyuling_Local	xinyuling_Local	0
131	1	乾坤	1001	1	0	actors/nan	xindaoke_Local	1	0	0	0	0	0	500	0	31	1.1	0	0	0	0	0	0	0	0	0	1	1	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	actors/nan	xindaoke_Local	xindaoke_Local	0
141	1	凤鸣	1001	1	0	actors/nv	xingongshou_Local	1	0	0	0	0	0	500	0	31	1	0	0	0	0	0	0	0	0	0	1	1	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	actors/nv	xingongshou_Local	xingongshou_Local	0
101	1	昆仑男	1001	1	0	actors/nan	xinJianNan_Local	1	0	0	0	0	0	500	0	11	1	0	0	0	0	0	0	0	0	0	1	1	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	actors/nan	xinJianNan_Local	jiannan_nor_lod4	0
102	1	昆仑女	1001	1	0	actors/nv	jianke_nv_Local	1	0	0	0	0	0	500	0	11	1	0	0	0	0	0	0	0	0	0	1	1	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	actors/nv	jianke_nv_Local	jiannv_nor_lod4	0
201	1	琉璃女	1001	1	0	actors/yuling	xinyuling_Local	1	0	0	0	0	0	500	0	21	1	0	0	0	0	0	0	0	0	0	1	1	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	actors/yuling	xinyuling_Local	zhangnv_nor_lod4	0
202	1	琉璃男	1001	1	0	actors/zhengtai	xinzhengtai_Local	1	0	0	0	0	0	500	0	21	1	0	0	0	0	0	0	0	0	0	1	1	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	actors/zhengtai	xinzhengtai_Local	zhangnan_nor_lod4	0
301	1	乾坤男	1001	1	0	actors/nan	xindaoke_Local	1	0	0	0	0	0	500	0	31	1	0	0	0	0	0	0	0	0	0	1	1	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	actors/nan	xindaoke_Local	daonan_nor_lod4	0
302	1	乾坤女	1001	1	0	actors/nv	daokenv01_Local	1	0	0	0	0	0	500	0	31	1	0	0	0	0	0	0	0	0	0	1	1	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	actors/nv	daokenv01_Local	daonv_nor_lod4	0
401	1	凤鸣男	1001	1	0	actors/nan	gongshou_nan_Local	1	0	0	0	0	0	500	0	31	1	0	0	0	0	0	0	0	0	0	1	1	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	actors/nan	gongshou_nan_Local	gongnan_nor_lod4	0
402	1	凤鸣女	1001	1	0	actors/nv	xingongshou_Local	1	0	0	0	0	0	500	0	31	1	0	0	0	0	0	0	0	0	0	1	1	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	actors/nv	xingongshou_Local	gongnv_nor_lod4	0
