"排行榜类型（战力排行0,等级排行1,命星排行2，moba段位排行3，伙伴战力排行4，富豪排行5,天梯积分排行6,大朝试积分排行7,天书陵层数榜8,副本首通数据,这不是一个排行榜9,文试积分排行10,迷宫积分排行11,成就排行榜12,修为排行榜13,魅力值排行榜14,今日击杀排行榜15,历史总击杀排行榜16，强化总等级榜17，宝石总等级榜18，阵法总战力19,充值排行榜20,送花榜男21,送花榜女22,收花榜男23,收花榜女24）"	有效标志位	副键（1开始，最高20）	重置方式（1表示0点、2表示5点）	发奖时间段（有个这个期间会有奖励）	发奖后是否清空（0不清空，1清空）	是否分职业（0不分，1分）	奖励分段个数	奖励邮件ID1	起始名次1	结束名次1	奖励邮件ID2	起始名次2	结束名次2	奖励邮件ID3	起始名次3	结束名次3	奖励邮件ID4	起始名次4	结束名次4	奖励邮件ID5	起始名次5	结束名次5	奖励邮件ID6	起始名次6	结束名次6	奖励邮件ID7	起始名次7	结束名次7	奖励邮件ID8	起始名次8	结束名次8	奖励邮件ID9	起始名次9	结束名次9	奖励邮件ID10	起始名次10	结束名次10	奖励邮件ID11	起始名次11	结束名次11	奖励邮件ID12	起始名次12	结束名次12	奖励邮件ID13	起始名次13	结束名次13	奖励邮件ID14	起始名次14	结束名次14	奖励邮件ID15	起始名次15	结束名次15	奖励邮件ID16	起始名次16	结束名次16	奖励邮件ID17	起始名次17	结束名次17	奖励邮件ID18	起始名次18	结束名次18	奖励邮件ID19	起始名次19	结束名次19	奖励邮件ID20	起始名次20	结束名次20	排行榜备注
[S]rank_type	[S]valid	[S]sub_id	[S]reset_type	[S]time_limit_id	if_clean	if_have_pre	[S]rank_reward_num	[S]sys_mail_id1	[S]begin_pos1	[S]end_pos1	[S]sys_mail_id2	[S]begin_pos2	[S]end_pos2	[S]sys_mail_id3	[S]begin_pos3	[S]end_pos3	[S]sys_mail_id4	[S]begin_pos4	[S]end_pos4	[S]sys_mail_id5	[S]begin_pos5	[S]end_pos5	[S]sys_mail_id6	[S]begin_pos6	[S]end_pos6	[S]sys_mail_id7	[S]begin_pos7	[S]end_pos7	[S]sys_mail_id8	[S]begin_pos8	[S]end_pos8	[S]sys_mail_id9	[S]begin_pos9	[S]end_pos9	[S]sys_mail_id10	[S]begin_pos10	[S]end_pos10	[S]sys_mail_id11	[S]begin_pos11	[S]end_pos11	[S]sys_mail_id12	[S]begin_pos12	[S]end_pos12	[S]sys_mail_id13	[S]begin_pos13	[S]end_pos13	[S]sys_mail_id14	[S]begin_pos14	[S]end_pos14	[S]sys_mail_id15	[S]begin_pos15	[S]end_pos15	[S]sys_mail_id16	[S]begin_pos16	[S]end_pos16	[S]sys_mail_id17	[S]begin_pos17	[S]end_pos17	[S]sys_mail_id18	[S]begin_pos18	[S]end_pos18	[S]sys_mail_id19	[S]begin_pos19	[S]end_pos19	[S]sys_mail_id20	[S]begin_pos20	[S]end_pos20	
14	1	1	2	9050306	0	0	4	6601	1	1	6602	2	5	6603	6	10	6604	11	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	魅力排行榜
1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	等级排行榜
0	1	1	2	9050305	0	0	4	6501	1	1	6502	2	5	6503	6	10	6504	11	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	修为排行榜
12	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	成就排行榜
16	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	击杀排行榜
8	1	1	2	9050301	0	0	7	6101	1	1	6102	2	2	6103	3	3	6104	4	4	6105	5	5	6106	6	10	6107	11	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	长生榜
17	1	1	2	9050302	0	0	4	6201	1	1	6202	2	5	6203	6	10	6204	11	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	强化榜
18	1	1	2	9050303	0	0	4	6301	1	1	6302	2	5	6303	6	10	6304	11	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	宝石榜
19	1	1	2	9050304	0	0	4	6401	1	1	6402	2	5	6403	6	10	6404	11	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	灵宠榜
6	1	1	2	9050307	0	0	10	9	1	1	10	2	2	11	3	3	12	4	10	13	11	20	14	21	50	15	51	100	16	101	200	17	201	400	18	401	800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	武试周榜
8	1	2	2	9050308	0	0	4	6111	1	1	6112	2	5	6113	6	10	6114	11	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	长生榜
17	1	2	2	9050309	0	0	4	6211	1	1	6212	2	5	6213	6	10	6214	11	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	强化榜
18	1	2	2	9050310	0	0	4	6311	1	1	6312	2	5	6313	6	10	6314	11	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	宝石榜
19	1	2	2	9050311	0	0	4	6411	1	1	6412	2	5	6413	6	10	6414	11	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	灵宠榜
0	1	2	2	9050312	0	0	4	6511	1	1	6512	2	5	6513	6	10	6514	11	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	修为排行榜
