坐骑ID(7位，分类：1为陆地，2为飞行；不能随意改，道具表和阵营坐骑都有相关配置）	有效标志位	坐骑名称（走时装）	坐骑属性（无用）	属性池ID(1位类型<1白点2精炼属性池3蓝色属性池4法球属性池8坐骑9伙伴属性池>+2位部位+2位职业+1位颜色+1位魂神+1位流水)（走时装）	成就ID，进度+1	坐骑等级（无用）	模型路径	模型名字	是否需要特效	npc功能类型以位域(1为陆地【不可飞行】，3为可飞)	出生表现（技能id）	坐骑NPCID（无用）	坐骑头像(图标ID)	坐骑列表显示	坐骑奔跑速度	坐骑飞行速度	坐骑有效时间(秒、一天为86400s,无效字段，坐骑时间走道具表)	坐骑描述	坐骑产出说明	坐骑X轴（U3D的Hierarchy中搜索RawImage_render_model，改左上角参数）	坐骑Y轴（U3D的Hierarchy中搜索RawImage_render_model，改左上角参数）	坐骑Z轴（U3D的Hierarchy中搜索RawImage_render_model，改左上角参数）	坐骑旋转（U3D的Hierarchy中搜索RawImage_render_model，改左上角第2行第2个，值在-180~180之间，超出范围修改无效）	坐骑缩放（U3D的Hierarchy中搜索RawImage_render_model，左边下方有个Model空格Scale的脚本，改Scale参数）	坐骑最适应高度（如果是飞行，写1（表示1米），陆地写0）	坐骑对应动作（ride是跨坐，ride01是御剑站立，ride02是打坐）	品质色	坐骑类别（1为陆地，2为飞行）	可见状态限制
[K][C][S]ID	[C][S]Value	[C][S]Name	[C][S]pro	[C][S]attrpoolID	[S]acmIDID	[C][S]level	[C][S]assetbundle	[C][S]assetname	[C]Need_Effect	[C][S]functype	[C][S]bornskill	[C][S]npcTypeID	[C][S]icon	[C][S]specialshow	[C][S]runspeed	[C][S]flyspeed	[S]limittime	[C]Desc	[C]produceScript	[C]previewX	[C]previewY	[C]previewZ	[C]previewRotation	[C]previewScale	[C]bestheight	[C]rideAnimation	[C]quality	[C]rideType	[C]VisibleLimit
1001014	1	霜落舆	1	0	2453	1	npc/zuoqi/qilinmache	zuoqi_qilinmache	1	1	0	0	riding00_027	1	9	0	-1	今天下同轨，愿与尔同行曦。	411000127	0	-0.666	5	-146	0.3	0	ride02	3	1	70008200
1001013	1	雪麒麟	1	0	2453	1	npc/zuoqi/qilin	zuoqi_qilin	1	1	0	0	riding00_026	1	9	0	-1	冰魄凝雪，可炼天下风雪。	411000127	0	-0.666	5	-134	0.45	0	ride	3	1	70008100
1001001	1	白帝	1	0	1825	1	npc/zuoqi/laohu	zuoqi_laohu	1	1	0	0	riding00_002	1	8	0	-1	阴蚀族养育的凶兽，可日行千里。	411000101	0.1	-0.64	5	-130	0.45	0	ride	2	1	0
1001003	1	灵狐	1	0	2453	1	npc/zuoqi/jiuweihu	zuoqi_jiuweihu	1	1	0	0	riding00_011	1	8	0	-1	青丘修炼至九尾的狐仙，疾行如风。	411000112	0.03	-0.65	5	-130	0.45	0	ride	2	1	0
1001004	1	黑毛羊驼	1	0	2455	1	npc/zuoqi/yangtuo	zuoqi_yangtuo_black	1	1	0	0	riding00_012	1	8	0	-1	大隐隐于市，流传在市井中的神兽，可日行千里。	411000113	0.01	-0.69	5	-125.2	0.45	0	ride	3	1	0
1001005	1	白毛羊驼	1	0	2456	1	npc/zuoqi/yangtuo	zuoqi_yangtuo_white	1	1	0	0	riding00_013	1	8	0	-1	大隐隐于市，流传在市井中的神兽，可日行千里。	411000114	0.01	-0.69	5	-125.2	0.45	0	ride	2	1	0
1001011	1	熊宝	1	0	2453	1	npc/zuoqi/xiongmao	zuoqi_xiongmao	1	1	0	0	riding00_020	1	8	0	-1	竹子竹子！我爱吃柱子！	411000121	0	-0.648	5	-119.7	0.45	0	ride	3	1	0
1001006	1	紫毛雪兔	1	0	2457	1	npc/zuoqi/tuzi	zuoqi_tuzi_pur	1	1	0	0	riding00_015	1	8	0	-1	嫦娥玉兔的嫡系，已传承八百年	411000116	0.12	-0.66	5	-115.3	0.45	0	ride	3	1	0
1001007	1	雪兔	1	0	2458	1	npc/zuoqi/tuzi	zuoqi_tuzi_red	1	1	0	0	riding00_016	1	8	0	-1	嫦娥玉兔的嫡系，已传承八百年	411000117	0.12	-0.66	5	-115.3	0.45	0	ride	2	1	0
