主类型（等级1，境界2，道藏3，道藏数量4，穿装备11，强化12，精炼13，宝石14，附加属性数15，完美属性数16，宝石数17，技能21，法器数22，血脉数23，等级武学数量24，伙伴数31，伙伴境界32，74宝石雕琢）	有效标志	副类型	流水ID（主、副类型都相同时，通过这个来区分）	条件参数1	条件参数2	条件参数3	触发成就1	触发成就2	触发成就3	触发成就4	触发成就5
1	1	0	1	1	0	0	2141	2142	2143	2144	2145
1	1	0	2	1	0	0	2146	2147	2202	2203	2204
1	1	0	3	1	0	0	2205	2206	2207	2208	0
1	1	0	4	40	0	0	2150	0	0	0	0
1	1	0	5	1061	0	0	724	2414	0	0	0
1	1	0	6	2081	0	0	726	2415	0	0	0
1	1	0	7	3101	0	0	2416	0	0	0	0
1	1	0	8	4121	0	0	2417	0	0	0	0
1	1	0	9	5141	0	0	2418	0	0	0	0
1	1	0	10	20	0	0	2351	0	0	0	0
1	1	0	11	50	0	0	2352	2519	0	0	0
1	1	0	12	30	0	0	2353	0	0	0	0
1	1	0	13	60	0	0	2354	1832	2543	0	0
1	1	0	14	70	0	0	2355	0	0	0	0
1	1	0	15	80	0	0	2356	0	0	0	0
1	1	0	16	1080	0	0	1833	0	0	0	0
1	1	0	17	2100	0	0	1834	0	0	0	0
1	1	0	18	3120	0	0	1835	0	0	0	0
1	1	0	19	4141	0	0	1836	0	0	0	0
1	1	0	20	5160	0	0	1837	0	0	0	0
1	1	0	21	1064	0	0	762	0	0	0	0
1	1	0	22	1067	0	0	763	0	0	0	0
1	1	0	23	1070	0	0	764	0	0	0	0
1	1	0	24	1074	0	0	765	0	0	0	0
1	1	0	25	1077	0	0	766	0	0	0	0
1	1	0	26	2080	0	0	767	0	0	0	0
1	1	0	27	26	0	0	769	0	0	0	0
1	1	0	28	65	0	0	2543	0	0	0	0
1	1	0	29	1080	0	0	2642	0	0	0	0
1	1	0	30	1084	0	0	2643	0	0	0	0
1	1	0	31	1087	0	0	2644	0	0	0	0
1	1	0	32	1090	0	0	2645	0	0	0	0
1	1	0	33	1094	0	0	2646	0	0	0	0
1	1	0	34	1097	0	0	2647	0	0	0	0
1	1	0	35	1100	0	0	2648	0	0	0	0
1	1	0	36	2084	0	0	2649	0	0	0	0
1	1	0	37	2087	0	0	2650	0	0	0	0
1	1	0	38	2090	0	0	2651	0	0	0	0
1	1	0	39	2094	0	0	2652	0	0	0	0
1	1	0	40	2097	0	0	2653	0	0	0	0
1	1	0	41	2100	0	0	2654	0	0	0	0
1	1	0	42	2104	0	0	2655	0	0	0	0
1	1	0	43	2107	0	0	2656	0	0	0	0
1	1	0	44	2110	0	0	2657	0	0	0	0
1	1	0	45	2114	0	0	2658	0	0	0	0
1	1	0	46	2117	0	0	2659	0	0	0	0
1	1	0	47	2120	0	0	2660	0	0	0	0
1	1	0	48	3104	0	0	2661	0	0	0	0
1	1	0	49	3107	0	0	2662	0	0	0	0
1	1	0	50	3110	0	0	2663	0	0	0	0
1	1	0	51	3114	0	0	2664	0	0	0	0
1	1	0	52	3117	0	0	2665	0	0	0	0
1	1	0	53	3120	0	0	2666	0	0	0	0
1	1	0	54	3124	0	0	2667	0	0	0	0
1	1	0	55	3127	0	0	2668	0	0	0	0
1	1	0	56	3130	0	0	2669	0	0	0	0
1	1	0	57	3134	0	0	2670	0	0	0	0
1	1	0	58	3137	0	0	2671	0	0	0	0
1	1	0	59	3140	0	0	2672	0	0	0	0
1	1	0	60	4124	0	0	2673	0	0	0	0
1	1	0	61	4127	0	0	2674	0	0	0	0
1	1	0	62	4130	0	0	2675	0	0	0	0
1	1	0	63	4134	0	0	2676	0	0	0	0
1	1	0	64	4137	0	0	2677	0	0	0	0
1	1	0	65	4140	0	0	2678	0	0	0	0
1	1	0	66	4144	0	0	2679	0	0	0	0
1	1	0	67	4147	0	0	2680	0	0	0	0
1	1	0	68	4150	0	0	2681	0	0	0	0
1	1	0	69	4154	0	0	2682	0	0	0	0
1	1	0	70	4157	0	0	2683	0	0	0	0
1	1	0	71	4160	0	0	2684	0	0	0	0
1	1	0	72	5144	0	0	2685	0	0	0	0
1	1	0	73	5147	0	0	2686	0	0	0	0
1	1	0	74	5150	0	0	2687	0	0	0	0
1	1	0	75	5154	0	0	2688	0	0	0	0
1	1	0	76	5157	0	0	2689	0	0	0	0
1	1	0	77	5160	0	0	2690	0	0	0	0
1	1	0	78	5164	0	0	2691	0	0	0	0
1	1	0	79	5167	0	0	2692	0	0	0	0
1	1	0	80	5170	0	0	2693	0	0	0	0
1	1	0	81	5174	0	0	2694	0	0	0	0
1	1	0	82	5177	0	0	2695	0	0	0	0
1	1	0	83	5180	0	0	2696	0	0	0	0
1	1	0	84	2	0	0	2555	0	0	0	0
2	1	0	1	1	0	0	771	0	0	0	0
2	1	0	2	2	0	0	772	2148	0	0	0
2	1	0	3	3	0	0	773	2536	0	0	0
2	1	0	4	4	0	0	774	2546	0	0	0
2	1	0	5	5	0	0	775	0	0	0	0
2	1	0	6	6	0	0	776	0	0	0	0
2	1	0	7	7	0	0	777	0	0	0	0
2	1	0	8	8	0	0	778	0	0	0	0
2	1	0	9	9	0	0	779	0	0	0	0
2	1	0	10	10	0	0	780	0	0	0	0
2	1	0	11	11	0	0	781	0	0	0	0
2	1	0	12	12	0	0	782	0	0	0	0
2	1	0	13	13	0	0	783	0	0	0	0
2	1	0	14	14	0	0	784	0	0	0	0
2	1	0	15	15	0	0	785	0	0	0	0
2	1	0	16	16	0	0	786	0	0	0	0
2	1	0	17	17	0	0	787	0	0	0	0
2	1	0	18	18	0	0	788	0	0	0	0
2	1	0	19	19	0	0	789	0	0	0	0
2	1	0	20	20	0	0	790	0	0	0	0
2	1	0	21	21	0	0	791	0	0	0	0
2	1	0	22	22	0	0	792	0	0	0	0
2	1	0	23	23	0	0	793	0	0	0	0
2	1	0	24	24	0	0	794	0	0	0	0
2	1	0	25	25	0	0	795	0	0	0	0
2	1	0	26	26	0	0	796	0	0	0	0
2	1	0	27	27	0	0	797	0	0	0	0
2	1	0	28	28	0	0	798	0	0	0	0
2	1	0	29	1	0	0	1001	0	0	0	0
2	1	0	30	2	0	0	1002	0	0	0	0
2	1	0	31	3	0	0	1003	0	0	0	0
2	1	0	32	4	0	0	1004	0	0	0	0
2	1	0	33	5	0	0	1005	0	0	0	0
2	1	0	34	6	0	0	1006	0	0	0	0
2	1	0	35	7	0	0	1007	0	0	0	0
2	1	0	36	8	0	0	1008	0	0	0	0
2	1	0	37	9	0	0	1009	0	0	0	0
2	1	0	38	10	0	0	1010	0	0	0	0
2	1	0	39	11	0	0	1011	0	0	0	0
2	1	0	40	12	0	0	1012	0	0	0	0
2	1	0	41	13	0	0	1013	0	0	0	0
2	1	0	42	14	0	0	1014	0	0	0	0
2	1	0	43	15	0	0	1015	0	0	0	0
2	1	0	44	16	0	0	1016	0	0	0	0
3	1	201	1	1	0	0	736	2419	2420	0	0
3	1	101	1	1	0	0	737	2419	2420	0	0
3	1	301	1	1	0	0	2419	2420	0	0	0
3	1	401	1	1	0	0	2419	2420	0	0	0
3	1	501	1	1	0	0	2419	2420	0	0	0
3	1	601	1	1	0	0	2419	2420	0	0	0
5	1	0	1	5	0	0	2430	0	0	0	0
5	1	0	2	20	0	0	2431	0	0	0	0
5	1	0	3	50	0	0	2432	0	0	0	0
11	1	1100110	1	2	0	0	2641	0	0	0	0
11	1	2100110	1	2	0	0	2641	0	0	0	0
11	1	3100110	1	2	0	0	2641	0	0	0	0
11	1	4100110	1	2	0	0	2641	0	0	0	0
11	1	1100110	2	3	0	0	1701	2641	0	0	0
11	1	2100110	2	3	0	0	1701	2641	0	0	0
11	1	3100110	2	3	0	0	1701	2641	0	0	0
11	1	4100110	2	3	0	0	1701	2641	0	0	0
11	1	11100110	1	3	0	0	1702	0	0	0	0
11	1	12100110	1	3	0	0	1702	0	0	0	0
11	1	13100110	1	3	0	0	1702	0	0	0	0
11	1	14100110	1	3	0	0	1702	0	0	0	0
11	1	21100110	1	3	0	0	1704	0	0	0	0
11	1	22100110	1	3	0	0	1704	0	0	0	0
11	1	23100110	1	3	0	0	1704	0	0	0	0
11	1	24100110	1	3	0	0	1704	0	0	0	0
11	1	31100110	1	3	0	0	1703	0	0	0	0
11	1	32100110	1	3	0	0	1703	0	0	0	0
11	1	33100110	1	3	0	0	1703	0	0	0	0
11	1	34100110	1	3	0	0	1703	0	0	0	0
11	1	41100110	1	3	0	0	1707	0	0	0	0
11	1	42100110	1	3	0	0	1707	0	0	0	0
11	1	43100110	1	3	0	0	1707	0	0	0	0
11	1	44100110	1	3	0	0	1707	0	0	0	0
11	1	51100110	1	3	0	0	1711	0	0	0	0
11	1	52100110	1	3	0	0	1711	0	0	0	0
11	1	53100110	1	3	0	0	1711	0	0	0	0
11	1	54100110	1	3	0	0	1711	0	0	0	0
11	1	61100110	1	3	0	0	1712	0	0	0	0
11	1	62100110	1	3	0	0	1712	0	0	0	0
11	1	63100110	1	3	0	0	1712	0	0	0	0
11	1	64100110	1	3	0	0	1712	0	0	0	0
11	1	71100110	1	3	0	0	1706	0	0	0	0
11	1	72100110	1	3	0	0	1706	0	0	0	0
11	1	73100110	1	3	0	0	1706	0	0	0	0
11	1	74100110	1	3	0	0	1706	0	0	0	0
11	1	81100110	1	3	0	0	1705	0	0	0	0
11	1	82100110	1	3	0	0	1705	0	0	0	0
11	1	83100110	1	3	0	0	1705	0	0	0	0
11	1	84100110	1	3	0	0	1705	0	0	0	0
11	1	91100110	1	3	0	0	1708	0	0	0	0
11	1	92100110	1	3	0	0	1708	0	0	0	0
11	1	93100110	1	3	0	0	1708	0	0	0	0
11	1	94100110	1	3	0	0	1708	0	0	0	0
11	1	51100120	1	0	0	0	2634	0	0	0	0
11	1	52100120	1	0	0	0	2634	0	0	0	0
11	1	53100120	1	0	0	0	2634	0	0	0	0
11	1	54100120	1	0	0	0	2634	0	0	0	0
11	1	61100120	1	0	0	0	2635	0	0	0	0
11	1	62100120	1	0	0	0	2635	0	0	0	0
11	1	63100120	1	0	0	0	2635	0	0	0	0
11	1	64100120	1	0	0	0	2635	0	0	0	0
11	1	51100130	1	0	0	0	2634	0	0	0	0
11	1	52100130	1	0	0	0	2634	0	0	0	0
11	1	53100130	1	0	0	0	2634	0	0	0	0
11	1	54100130	1	0	0	0	2634	0	0	0	0
11	1	61100130	1	0	0	0	2635	0	0	0	0
11	1	62100130	1	0	0	0	2635	0	0	0	0
11	1	63100130	1	0	0	0	2635	0	0	0	0
11	1	64100130	1	0	0	0	2635	0	0	0	0
11	1	51100140	1	0	0	0	2634	0	0	0	0
11	1	52100140	1	0	0	0	2634	0	0	0	0
11	1	53100140	1	0	0	0	2634	0	0	0	0
11	1	54100140	1	0	0	0	2634	0	0	0	0
11	1	61100140	1	0	0	0	2635	0	0	0	0
11	1	62100140	1	0	0	0	2635	0	0	0	0
11	1	63100140	1	0	0	0	2635	0	0	0	0
11	1	64100140	1	0	0	0	2635	0	0	0	0
11	1	51100150	1	0	0	0	2634	0	0	0	0
11	1	52100150	1	0	0	0	2634	0	0	0	0
11	1	53100150	1	0	0	0	2634	0	0	0	0
11	1	54100150	1	0	0	0	2634	0	0	0	0
11	1	61100150	1	0	0	0	2635	0	0	0	0
11	1	62100150	1	0	0	0	2635	0	0	0	0
11	1	63100150	1	0	0	0	2635	0	0	0	0
11	1	64100150	1	0	0	0	2635	0	0	0	0
11	1	1100120	1	0	0	0	2606	0	0	0	0
11	1	2100120	1	0	0	0	2606	0	0	0	0
11	1	3100120	1	0	0	0	2606	0	0	0	0
11	1	4100120	1	0	0	0	2606	0	0	0	0
11	1	1100120	2	2	0	0	2641	0	0	0	0
11	1	2100120	2	2	0	0	2641	0	0	0	0
11	1	3100120	2	2	0	0	2641	0	0	0	0
11	1	4100120	2	2	0	0	2641	0	0	0	0
11	1	1100120	3	3	0	0	1717	0	2606	2641	0
11	1	2100120	3	3	0	0	1717	0	2606	2641	0
11	1	3100120	3	3	0	0	1717	0	2606	2641	0
11	1	4100120	3	3	0	0	1717	0	2606	2641	0
11	1	1100120	4	6	0	0	2606	0	0	0	0
11	1	2100120	4	6	0	0	2606	0	0	0	0
11	1	3100120	4	6	0	0	2606	0	0	0	0
11	1	4100120	4	6	0	0	2606	0	0	0	0
11	1	1100130	1	4	0	0	2513	2633	0	0	0
11	1	2100130	1	4	0	0	2513	2633	0	0	0
11	1	3100130	1	4	0	0	2513	2633	0	0	0
11	1	4100130	1	4	0	0	2513	2633	0	0	0
11	1	1100140	1	4	0	0	2513	2633	0	0	0
11	1	2100140	1	4	0	0	2513	2633	0	0	0
11	1	3100140	1	4	0	0	2513	2633	0	0	0
11	1	4100140	1	4	0	0	2513	2633	0	0	0
11	1	1100150	1	4	0	0	2513	2633	0	0	0
11	1	2100150	1	4	0	0	2513	2633	0	0	0
11	1	3100150	1	4	0	0	2513	2633	0	0	0
11	1	4100150	1	4	0	0	2513	2633	0	0	0
11	1	1101120	1	0	0	0	803	728	2001	0	0
11	1	2101120	1	0	0	0	803	728	2001	0	0
11	1	3101120	1	0	0	0	803	728	2001	0	0
11	1	4101120	1	0	0	0	803	728	2001	0	0
11	1	1101130	1	0	0	0	2516	0	0	0	0
11	1	2101130	1	0	0	0	2516	0	0	0	0
11	1	3101130	1	0	0	0	2516	0	0	0	0
11	1	4101130	1	0	0	0	2516	0	0	0	0
11	1	11100120	1	3	0	0	711	0	0	0	0
11	1	12100120	1	3	0	0	711	0	0	0	0
11	1	13100120	1	3	0	0	711	0	0	0	0
11	1	14100120	1	3	0	0	711	0	0	0	0
11	1	11100120	2	3	0	0	1718	0	0	0	0
11	1	12100120	2	3	0	0	1718	0	0	0	0
11	1	13100120	2	3	0	0	1718	0	0	0	0
11	1	14100120	2	3	0	0	1718	0	0	0	0
11	1	11101120	1	0	0	0	804	733	2002	0	0
11	1	12101120	1	0	0	0	804	733	2002	0	0
11	1	13101120	1	0	0	0	804	733	2002	0	0
11	1	14101120	1	0	0	0	804	733	2002	0	0
11	1	21100120	1	3	0	0	1720	0	0	0	0
11	1	22100120	1	3	0	0	1720	0	0	0	0
11	1	23100120	1	3	0	0	1720	0	0	0	0
11	1	24100120	1	3	0	0	1720	0	0	0	0
11	1	21101120	1	0	0	0	806	2003	715	0	0
11	1	22101120	1	0	0	0	806	2003	715	0	0
11	1	23101120	1	0	0	0	806	2003	715	0	0
11	1	24101120	1	0	0	0	806	2003	715	0	0
11	1	31100120	1	3	0	0	1719	0	0	0	0
11	1	32100120	1	3	0	0	1719	0	0	0	0
11	1	33100120	1	3	0	0	1719	0	0	0	0
11	1	34100120	1	3	0	0	1719	0	0	0	0
11	1	31101120	1	0	0	0	805	2004	708	0	0
11	1	32101120	1	0	0	0	805	2004	708	0	0
11	1	33101120	1	0	0	0	805	2004	708	0	0
11	1	34101120	1	0	0	0	805	2004	708	0	0
11	1	41100120	1	0	0	0	1713	0	0	0	0
11	1	42100120	1	0	0	0	1713	0	0	0	0
11	1	43100120	1	0	0	0	1713	0	0	0	0
11	1	44100120	1	0	0	0	1713	0	0	0	0
11	1	41100130	1	0	0	0	1713	0	0	0	0
11	1	42100130	1	0	0	0	1713	0	0	0	0
11	1	43100130	1	0	0	0	1713	0	0	0	0
11	1	44100130	1	0	0	0	1713	0	0	0	0
11	1	41101120	1	0	0	0	746	2005	0	0	0
11	1	42101120	1	0	0	0	746	2005	0	0	0
11	1	43101120	1	0	0	0	746	2005	0	0	0
11	1	44101120	1	0	0	0	746	2005	0	0	0
11	1	51100120	2	0	0	0	807	2608	0	0	0
11	1	51100130	2	0	0	0	807	2608	0	0	0
11	1	52100120	2	0	0	0	807	2608	0	0	0
11	1	52100130	2	0	0	0	807	2608	0	0	0
11	1	53100120	2	0	0	0	807	2608	0	0	0
11	1	53100130	2	0	0	0	807	2608	0	0	0
11	1	54100120	2	0	0	0	807	2608	0	0	0
11	1	54100130	2	0	0	0	807	2608	0	0	0
11	1	51100120	3	0	0	0	2608	0	0	0	0
11	1	51100130	3	0	0	0	2608	0	0	0	0
11	1	52100120	3	0	0	0	2608	0	0	0	0
11	1	52100130	3	0	0	0	2608	0	0	0	0
11	1	53100120	3	0	0	0	2608	0	0	0	0
11	1	53100130	3	0	0	0	2608	0	0	0	0
11	1	54100120	3	0	0	0	2608	0	0	0	0
11	1	54100130	3	0	0	0	2608	0	0	0	0
11	1	51100120	4	0	0	0	2608	0	0	0	0
11	1	51100130	4	0	0	0	2608	0	0	0	0
11	1	52100120	4	0	0	0	2608	0	0	0	0
11	1	52100130	4	0	0	0	2608	0	0	0	0
11	1	53100120	4	0	0	0	2608	0	0	0	0
