效果备注，仅供策划管理查阅	效果id（1000~1999伤害类效果；2000~2999控制类效果；3000~3999属性影响类效果；4000~4999免疫效果；5000~5999各种盾效果；6000~6999变身效果；7000~7999驱散效果；9000~9999其他效果；100000~399999职业天赋效果；10000000~99999999职业魔纹效果；）	有效标志位	属性类型：(看属性枚举那一页)	效果枚举(看效果枚举那一页)	攻击属性枚举（与最终伤害计算的防御相关1、物理伤害|2、法术伤害|3、神圣伤害|11、属性1伤害|12、属性2伤害|13、属性3伤害|14、属性4伤害|15、属性5伤害）	关联对象：（1、施法方|2、目标|3、技能ID|4、技能类型|5、当前伤害|6、自己与对方属性差|7、对方与自己属性差|若为光环效果此处填写光环触发的技能ID|8、关联施法方阵法属性（只有在伙伴未出战，且施法者为主角才能生效）	当前or基础（0为关联当前属性，1为关联基础属性(无BUFF下人物属性)）	关联属性（计算效果时关联的属性枚举|光环时为触发技能等级）	效果参数1（当属性类型为10，表示盾破时释放的技能id|效果为牵引的时候，标识牵引随机落点半径|击退代表击退距离）	效果参数2（驱散类时代表2级分类|伤害吸收盾时代表技能等级,反弹是代表固定值）	效果目标：（1、施法方|2、目标|3、技能ID|4、技能类型|5、当前伤害|6、自己与对方属性差|7、对方与自己属性差）	效果有效目标(字段无效，现在是在skill.lua里的弹道里配置的，0、所有目标|1、玩家|2、宠物|4、NPC|8、幻象)	是否关联聚气（0、无关联|1、关联聚气|2、关联距离，无效字段	是否移动触发（1、移动触发|0、非移动触发，无效字段）
说明	[K][C][S]id	[S]	[C][S]type	[C][S]effect	[C][S]attribute	[C][S]object	[C][S]case	[C][S]relation	[C][S]parameter_1	[C][S]parameter_2	[C][S]target	[C][S]effective	[C][S]special	[C][S]move
HP伤害：物理攻击	1001	1	73	19	1	1	0	67	0	0	2	0	0	0
HP伤害：真元攻击	1002	1	73	20	2	1	0	70	0	0	2	0	0	0
HP伤害：物理攻击，只能NPC	1003	1	73	19	0	1	0	67	0	0	2	4	0	0
HP伤害：物理攻击，只能玩家	1004	1	73	19	0	1	0	67	0	0	2	1	0	0
HP伤害：神圣攻击，关联施法者当前生命值	1005	1	73	21	1	1	0	73	0	0	2	0	0	0
HP伤害：神圣攻击，关联施法者当前物理攻击	1006	1	73	21	0	1	0	67	0	0	2	0	0	0
HP伤害：神圣攻击，关联被击者当前生命值	1007	1	73	21	1	2	0	73	0	0	2	0	0	0
HP伤害：神圣攻击，关联施法者最大生命值	1008	1	72	21	1	1	0	72	0	0	2	0	0	0
HP伤害：神圣攻击，关联被击者最大生命值	1009	1	72	21	1	2	0	72	0	0	2	0	0	0
HP伤害：关联被击者物理攻击	1010	1	73	19	1	2	0	67	0	0	2	0	0	0
HP伤害：关联被击者真元攻击	1011	1	73	20	2	2	0	70	0	0	2	0	0	0
HP伤害：神圣攻击，关联被击者最大的虚拟生命值	1999	1	90	21	1	2	0	90	0	0	2	0	0	0
控制：升龙击退2.4米	2001	1	0	14	0	1	1	0	24	10000	2	0	0	0
