系统邮件主键	有效标志位	系统署名（不能超过20个汉字）	邮件标题（不能超过20个汉字）	邮件内容(通配符最多支持7个)换行：<Enter>（不能超过1000个汉字）	附加金钱	附加铜币	附加贡献	附加元宝	附加绑定元宝	附加师德	附加其他货币	附加其他货币	附加道具ID类型（绑定与否）	附加道具ID	附加道具数量	附加道具ID类型	附加道具ID	附加道具数量	附加道具ID类型	附加道具ID	附加道具数量	附加道具ID类型	附加道具ID	附加道具数量
1	1	"|C|系统|T|長生訣"	"|C|武试5连胜|T|武試5連勝"	"|C|恭喜仙友您在武试中获得5连胜！<Enter>特此奉上大礼一份！|T|恭喜仙友您在武試中獲得5連勝！<Enter>特此奉上大禮一份！"	0	0	0	0	0	0	0	0	1	322040002	1	0	0	0	0	0	0	0	0	0
2	1	"|C|系统|T|長生訣"	"|C|武试10连胜|T|武試10連勝"	"|C|恭喜仙友您在武试中获得10连胜！<Enter>特此奉上大礼一份！|T|恭喜仙友您在武試中獲得10連勝！<Enter>特此奉上大禮一份！"	0	0	0	0	0	0	0	0	1	322040003	1	0	0	0	0	0	0	0	0	0
3	1	"|C|系统|T|長生訣"	"|C|武试日冠军|T|武試日冠軍"	"|C|恭喜仙友您在武试中获得当日积分冠军！<Enter>特此奉上大礼一份！|T|恭喜仙友您在武試中獲得當日積分冠軍！<Enter>特此奉上大禮一份！"	0	0	0	0	0	0	0	0	1	322040004	1	0	0	0	0	0	0	0	0	0
4	1	"|C|系统|T|長生訣"	"|C|武试日亚军|T|武試日亞軍"	"|C|恭喜仙友您在武试中获得当日积分亚军！<Enter>特此奉上大礼一份！|T|恭喜仙友您在武試中獲得當日積分亞軍！<Enter>特此奉上大禮一份！"	0	0	0	0	0	0	0	0	1	322040005	1	0	0	0	0	0	0	0	0	0
5	1	"|C|系统|T|長生訣"	"|C|武试日季军|T|武試日季軍"	"|C|恭喜仙友您在武试中获得当日积分季军！<Enter>特此奉上大礼一份！|T|恭喜仙友您在武試中獲得當日積分季軍！<Enter>特此奉上大禮一份！"	0	0	0	0	0	0	0	0	1	322040006	1	0	0	0	0	0	0	0	0	0
6	1	"|C|系统|T|長生訣"	"|C|答题成绩|T|答題成績"	"|C|您今日在观灵会答题中答对题目未超过半数，获得鼓励奖，要加油哦！|T|您今日在觀靈會答題中答對題目未超過半數，獲得鼓勵獎，要加油哦！"	0	0	0	0	0	0	0	0	1	322010002	1	0	0	0	0	0	0	0	0	0
7	1	"|C|系统|T|長生訣"	"|C|答题成绩|T|答題成績"	"|C|您今日在观灵会答题中答对题目超过半数以上，获得优秀奖，请再接再厉!|T|您今日在觀靈會答題中答對題目超過半數以上，獲得優秀獎，請再接再厲!"	0	0	0	0	0	0	0	0	1	322010001	1	0	0	0	0	0	0	0	0	0
8	1	"|C|系统|T|長生訣"	"|C|答题满分|T|答題滿分"	"|C|您今日在观灵会答题中答对至少18道题，获得学霸奖，当之无愧！|T|您今日在觀靈會答題中答對至少18道題，獲得學霸獎，當之無愧！"	0	0	0	0	0	0	0	0	1	322010000	1	0	0	0	0	0	0	0	0	0
9	1	"|C|系统|T|長生訣"	"|C|武试周榜第1名|T|武試周榜第1名"	"|C|恭喜仙友您获得武试周榜第1名<Enter>特此奉上大礼一份！|T|恭喜仙友您獲得武試周榜第1名<Enter>特此奉上大禮一份！"	0	0	0	0	0	0	0	0	1	322000001	1	0	0	0	0	0	0	0	0	0
10	1	"|C|系统|T|長生訣"	"|C|武试周榜第2名|T|武試周榜第2名"	"|C|恭喜仙友您获得武试周榜第2名<Enter>特此奉上大礼一份！|T|恭喜仙友您獲得武試周榜第2名<Enter>特此奉上大禮一份！"	0	0	0	0	0	0	0	0	1	322000002	1	0	0	0	0	0	0	0	0	0
11	1	"|C|系统|T|長生訣"	"|C|武试周榜第3名|T|武試周榜第3名"	"|C|恭喜仙友您获得武试周榜第3名<Enter>特此奉上大礼一份！|T|恭喜仙友您獲得武試周榜第3名<Enter>特此奉上大禮一份！"	0	0	0	0	0	0	0	0	1	322000003	1	0	0	0	0	0	0	0	0	0
12	1	"|C|系统|T|長生訣"	"|C|武试周榜第4~10名|T|武試周榜第4~10名"	"|C|恭喜仙友您获得武试周榜第4~10名<Enter>特此奉上大礼一份！|T|恭喜仙友您獲得武試周榜第4~10名<Enter>特此奉上大禮一份！"	0	0	0	0	0	0	0	0	1	322000004	1	0	0	0	0	0	0	0	0	0
