称号ID(1001-为普通称号，1100-为高端称号，1200-为特殊称号，2001-2060是师徒称号)	有效标志位	称号名字	称号品质(1绿色、2蓝色、3紫色、4金色）	称号存在时间（填-1永久、其他填具体时间（单位：秒））	称号特效（填特效ID、没特效填称号名字）	称号效果（填属性池id，5开头，5000+2位流水+1位流水+1位流水：占段走流水号）	称号装备状态限制	称号显示状态限制	称号美术字图片	条件描述（获得称号条件）	UI称号缩放	场景特效ID	成就特效挂件
[K][C][S]ID	0	[C][S]name	[C][S]quality	[C][S]time	[C][S]specialeffect	[C][S]effect1	[C][S]equiplimit	[C][S]showlimit	[C][S]effectImage	[C][S]conditiondesc	[C]height	[C]normaleffect	[C]attachname
1001	1	初窥门径	1	-1	0	50000110	0	0	0	主线任务获得	0	0	0
1002	1	融会贯通	2	-1	0	50000210	0	0	0	主线任务获得	0	0	0
1101	1	铁血战神	4	-1	1000155	0	90000034	90000034	0	敬请期待	0	0	0
1102	1	威震八方	4	86400	1000153	50000310	0	0	0	大神榜每日二、三名奖励！	0	0	0
1103	1	唯我独尊	4	86400	1000154	50000410	0	0	0	大神榜每日第一名奖励！	0	0	0
1104	1	天下无双	4	158400	1000185	50000510	0	0	0	天下无双，武试前三名奖励！	0	0	0
1105	1	倾国倾城	3	604800	1000168	50000174	0	0	0	魅力倾倒四方客，引领潮流第一人，周魅力排行榜的首名奖励！	0	0	0
1106	1	时尚教主	3	604800	1000169	50000174	0	0	0	独具匠心时尚界，姹紫嫣红领潮人，周魅力排行榜的2~5名奖励！	0	0	0
1107	1	魅力无限	3	604800	1000170	50000184	0	0	0	追逐时尚最前沿，魅力四射是达人，周魅力排行榜的6~10名奖励！	0	0	0
1108	1	才子佳人	3	604800	1000171	50000184	0	0	0	周魅力排行榜的11~20名奖励！	0	0	0
1109	1	护花使者	3	86400	20191	50000176	0	0	0	鲜花排行榜中送花榜-男第一名可获得	0	0	0
1110	1	守护天使	3	86400	20193	50000176	0	0	0	鲜花排行榜中送花榜-女第一名可获得	0	0	0
1111	1	至尊蓝颜	4	86400	20194	50000174	0	0	0	鲜花排行榜中收花榜-男第一名可获得	0	0	0
1112	1	倾城佳人	4	86400	20192	50000174	0	0	0	鲜花排行榜中收花榜-女第一名可获得	0	0	0
1113	1	独孤求败	6	172800	0	50000713	0	0	hud_title41	单人跨服试炼之地冠军奖励	90	0	0
1114	1	比翼齐飞	6	604800	0	50000714	0	0	hud_title53	跨服仙侣试炼优胜奖励	90	0	0
1115	1	跨凤乘鸾	6	604800	0	50000715	90000034	90000034	0	跨服仙侣竞技场淘汰赛冠军奖励	90	0	0
1116	1	比翼连枝	6	-1	0	50000720	0	0	hud_title47	恩爱度等级提升到“比翼连枝”可获得。	90	0	0
1117	1	鸿案相庄	6	-1	0	50000721	0	0	hud_title48	恩爱度等级提升到“鸿案相庄”可获得。	90	0	0
1118	1	怜我怜卿	6	-1	0	50000722	0	0	hud_title49	恩爱度等级提升到“怜我怜卿”可获得。	90	0	0
1119	1	共挽鹿车	6	-1	0	50000723	0	0	hud_title50	恩爱度等级提升到“共挽鹿车”可获得。	90	0	0
1120	1	举案齐眉	6	-1	0	50000724	0	0	hud_title51	恩爱度等级提升到“举案齐眉”可获得。	90	0	0
1121	1	凤凰于飞	6	-1	0	50000725	0	0	hud_title52	恩爱度等级提升到“凤凰于飞”可获得。	90	0	0
1201	1	天下第一帮	4	-1	0	50000170	0	0	hud_title11	参与开服十大帮派评选获得第一名的帮派可获得！	35	0	0
1202	1	十大帮派	3	-1	0	50000170	0	0	hud_title10	参与开服十大帮派评选获得第2-10名的帮派可获得！	35	0	0
1203	1	精英帮派	2	-1	0	50000180	0	0	hud_title09	参与开服十大帮派评选获得第11-20名的帮派可获得！	35	0	0
