场景流水号	场景路径
1	boss.txt
2	guojiaoxueyuan1.txt
3	guojiaoxueyuan2.txt
4	heilongtan.txt
5	xinligong.txt
6	moba.txt
7	xinshendu.txt
8	zhouyuan.txt
9	zhucheng2.txt
10	f_shujichu.txt
11	f_yuanjiang.txt
12	f_xiaoshijie.txt
13	xichenlou.txt
14	daqingshan.txt
15	migong.txt
16	f_zhouling.txt
17	xueyuanbaoku.txt
18	fengmota.txt
19	f_shouwangxianfeng.txt
20	f_moba.txt
21	f_shouhu.txt
22	xinmoba.txt
23	f_xingkong.txt
24	f_dixiacheng.txt
25	f_xuedi.txt
26	f_mijing.txt
27	f_baoku.txt
28	f_shijieboss.txt
29	f_jueshou.txt
30	ligong.txt
31	xinshoucun.txt
32	duoqi.txt
33	bianjing.txt
34	f_mengzhuzhengduo.txt
35	weiyanggong.txt
36	jiucengyaota.txt
37	gongchengzhan.txt
38	f_shenmogumu.txt
39	jiehun.txt
40	f_yunshi.txt
41	f_qifubaodao.txt
42	f_baozang.txt
