等级	有效标志位	老的升级所需经验经验	所需经验	可存储经验上限（已废弃）	等级所对应的境界	限制节点类型(0不限，1职业转职-实现，2满级，3技能，4成就-实现，5境界-实现)	限制节点数据	触发事件	科技1经验上限（卡等级时，经验最多可积累的上限）	科技2经验上限（卡等级时，经验最多可积累的上限）	科技3经验上限（卡等级时，经验最多可积累的上限）	科技4经验上限（卡等级时，经验最多可积累的上限）	科技5经验上限（卡等级时，经验最多可积累的上限）	科技6经验上限（卡等级时，经验最多可积累的上限）	科技7经验上限（卡等级时，经验最多可积累的上限）	科技8经验上限（卡等级时，经验最多可积累的上限）	科技9经验上限（卡等级时，经验最多可积累的上限）	科技10经验上限（卡等级时，经验最多可积累的上限）	可存储双倍经验	每次获得修炼经验
[K][C][S]rolelvl	0	[C][S]oldupgradeexp	[C][S]upgradeexp	[C][S]maxexp	[C][S]ifnode	[C][S]nodetype	[C][S]nodeparam	[S]triggerevent	[C][S]maxstoreexp	[C][S]maxstoreexp2	[C][S]maxstoreexp3	[C][S]maxstoreexp4	[C][S]maxstoreexp5	[C][S]maxstoreexp6	[C][S]maxstoreexp7	[C][S]maxstoreexp8	[C][S]maxstoreexp9	[C][S]maxstoreexp10	[C][S]maxdoubleexp	[S]trainingexp
1	1	5000	5000	50000000	0	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
2	1	6000	6000	50000000	0	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
3	1	7000	7000	50000000	0	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
4	1	8000	8000	50000000	0	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
5	1	9000	9000	50000000	0	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
6	1	10000	10000	50000000	0	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
7	1	11000	11000	50000000	0	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
8	1	12000	12000	50000000	0	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
9	1	13000	13000	50000000	0	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
10	1	14000	14000	50000000	0	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
11	1	20000	20000	50000000	0	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
12	1	26000	26000	50000000	0	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
13	1	32000	32000	50000000	0	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
14	1	38000	38000	50000000	0	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
15	1	44000	44000	50000000	0	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
16	1	50000	50000	50000000	0	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
17	1	61000	61000	50000000	0	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
18	1	62000	62000	50000000	0	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
19	1	67000	67000	50000000	0	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
20	1	42000	42000	50000000	0	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
21	1	59000	59000	50000000	1	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
22	1	82000	82000	50000000	1	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
