日志ID	日志内容模板
[K][C][S]ID	[C][S]Text
1000	<color=#ffa500ff>%s<color=#ffffffff>学院在<color=#ffa500ff>%s<color=#ffffffff>对本学院发动了宝库攻击，防守成功，学院宝库损失了<color=#ffa500ff>%s<color=#ffffffff>星辉和<color=#ffa500ff>%s<color=#ffffffff>的金钱，获得了<color=#ffa500ff>%s<color=#ffffffff>奖励！
1001	%s学院在%s对本学院发动了宝库攻击，防守失败，学院宝库损失了%s星辉和%s的金钱！
1002	本学院在%s对%s学院发动了宝库攻击，攻击成功，学院宝库获得了%s星辉和%s的金钱，并获得了%s奖励！
1003	本学院在%s对%s学院发动了宝库攻击，攻击失败，学院宝库获得了%s星辉和%s的金钱！
1004	学院教务处已被%s升级至%s级！
1005	学院天书系已被%s升级至%s级！
1006	学院百草系已被%s升级至%s级！
1007	学院武术系已被%s升级至%s级！
1008	学院万宝系已被%s升级至%s级！
1009	%s在学院秘库中以%s的学院积分竞拍获得到了%s！
1010	%s将学院院长一职禅让给了%s！
1011	%s将%s一职托付给了%s!
