特权ID	有效标示	特权名称	特权所有人,0非法数据、1帮主、2副帮主、4院监、8天书堂主、16百草堂主、32白虎堂主、64万宝堂主、128精英帮众、256正式帮众、512预科帮众	需要科堂类型	需要科堂等级	限制次数周期0不刷新，1日刷新，2周刷新	周期内的使用次数限制	time_limit	预留字段1	预留字段2	预留字段3	预留字段4
[K][C][S]ID	[S]	[C][S]Privilege_ID	[C][S]Privilege_Owner	[C][S]Department_Only	[C][S]Level_Only	[C][S]Cycle_Time	[C][S]Cycle_Restrict	[C][S]Time_Restrict	[C][S]Arg1	[C][S]Arg2	[C][S]Arg3	[C][S]Arg4
1	1	管理成员	7	0	0	1	100	0	0	0	0	0
2	1	升级聚义堂	7	0	0	1	100	0	0	0	0	0
3	1	升级帮派商店	11	0	0	1	100	0	0	0	0	0
4	1	升级帮派活动	19	0	0	1	100	0	0	0	0	0
5	1	升级兵甲坊	35	0	0	1	100	0	0	0	0	0
6	1	升级帮派建筑	67	0	0	1	100	0	0	0	0	0
7	1	修改帮派公告	3	0	0	1	100	0	0	0	0	0
8	1	开启观碑大会	7	0	0	1	1	0	0	0	0	0
9	1	开启帮派宝库	7	0	0	2	2	0	0	0	0	0
10	1	开启帮派攻防	7	0	0	1	100	0	0	0	0	0
11	1	帮派秘库拍卖	7	0	0	1	100	0	0	0	0	0
12	1	是否自动同意	7	0	0	1	100	0	0	0	0	0
13	1	铸造权限堂主以上	127	0	0	1	100	0	0	0	0	0
14	1	铸造权限无限制	1023	0	0	1	100	0	0	0	0	0
15	1	帮派召唤权限	3	0	0	1	2	0	0	0	0	0
