{
[(8960,21333,321)(8960,21045,321)(8543,21045,321)]
[(8960,21333,321)(8543,21045,321)(8542,21333,321)]
[(8542,21760,321)(8960,21760,321)(8960,21333,321)]
[(8542,21760,321)(8960,21333,321)(8542,21333,321)]
[(8542,22187,321)(8960,22187,321)(8960,21760,321)]
[(8542,22187,321)(8960,21760,321)(8542,21760,321)]
[(8542,22613,321)(8960,22613,321)(8960,22187,321)]
[(8542,22613,321)(8960,22187,321)(8542,22187,321)]
[(8542,23040,321)(8960,23040,321)(8960,22613,321)]
[(8542,23040,321)(8960,22613,321)(8542,22613,321)]
[(8960,23118,321)(8960,23040,321)(8542,23040,321)]
[(8960,23118,321)(8542,23040,321)(8542,23118,321)]
[(8960,21333,321)(9387,21333,321)(9387,21047,321)]
[(8960,21333,321)(9387,21047,321)(8960,21045,321)]
[(8960,21760,321)(9387,21760,321)(9387,21333,321)]
[(8960,21760,321)(9387,21333,321)(8960,21333,321)]
[(8960,22187,321)(9387,22187,321)(9387,21760,321)]
[(8960,22187,321)(9387,21760,321)(8960,21760,321)]
[(8960,22613,321)(9387,22613,321)(9387,22187,321)]
[(8960,22613,321)(9387,22187,321)(8960,22187,321)]
[(8960,23040,321)(9387,23040,321)(9387,22613,321)]
[(8960,23040,321)(9387,22613,321)(8960,22613,321)]
[(8960,23118,321)(9387,23120,321)(9387,23040,321)]
[(8960,23118,321)(9387,23040,321)(8960,23040,321)]
[(9387,21333,321)(9813,21333,321)(9813,21047,321)]
[(9387,21333,321)(9813,21047,321)(9387,21047,321)]
[(9387,21760,321)(9813,21760,321)(9813,21333,321)]
[(9387,21760,321)(9813,21333,321)(9387,21333,321)]
[(9387,22187,321)(9813,22187,321)(9813,21760,321)]
[(9387,22187,321)(9813,21760,321)(9387,21760,321)]
[(9387,22613,321)(9813,22613,321)(9813,22187,321)]
[(9387,22613,321)(9813,22187,321)(9387,22187,321)]
[(9387,23040,321)(9813,23040,321)(9813,22613,321)]
[(9387,23040,321)(9813,22613,321)(9387,22613,321)]
[(9387,23120,321)(9813,23120,321)(9813,23040,321)]
[(9387,23120,321)(9813,23040,321)(9387,23040,321)]
[(9813,21333,321)(10240,21333,321)(10240,21047,321)]
