{
[(11832,8192,542)(12259,8192,542)(11877,8056,542)]
[(11573,8875,542)(11605,8875,542)(11605,8784,542)]
[(11808,8245,542)(11800,8245,542)(11605,8784,542)]
[(12259,8192,542)(11832,8192,542)(11816,8237,542)]
[(11800,8245,542)(11795,8245,542)(11605,8784,542)]
[(12259,8192,542)(11816,8237,542)(11808,8245,542)]
[(12288,8203,542)(12259,8192,542)(11808,8245,542)]
[(12288,8203,542)(11808,8245,542)(11605,8784,542)]
[(12288,8203,542)(11605,8784,542)(11605,8875,542)]
[(12288,8203,542)(11605,8875,542)(12288,8875,545)]
[(12432,8275,542)(12429,8251,542)(12288,8203,542)]
[(12288,8875,545)(12571,8875,542)(12571,8747,542)]
[(12288,8875,545)(12571,8747,542)(12432,8275,542)]
[(12288,8875,545)(12432,8275,542)(12288,8203,542)]
[(11605,8875,542)(11573,8875,542)(11544,8955,542)]
[(11605,8875,542)(11544,8955,542)(11605,9011,542)]
[(11883,9272,542)(11883,9301,542)(11952,9301,587)]
[(11960,9309,593)(11960,9557,749)(12288,9557,749)]
[(11952,9301,587)(11960,9309,593)(12288,9557,749)]
[(11605,9011,542)(11883,9272,542)(11952,9301,587)]
[(11952,9301,587)(12288,9557,749)(12288,8875,545)]
[(11952,9301,587)(12288,8875,545)(11605,8875,542)]
[(11952,9301,587)(11605,8875,542)(11605,9011,542)]
[(12432,9301,587)(12475,9301,542)(12475,9152,542)]
[(12424,9309,593)(12432,9301,587)(12475,9152,542)]
[(12288,9557,749)(12424,9557,749)(12424,9309,593)]
[(12483,9144,542)(12568,9144,542)(12571,8875,542)]
[(12475,9152,542)(12483,9144,542)(12571,8875,542)]
[(12475,9152,542)(12571,8875,542)(12288,8875,545)]
[(12288,9557,749)(12424,9309,593)(12475,9152,542)]
[(12288,9557,749)(12475,9152,542)(12288,8875,545)]
[(11960,9573,758)(11949,9581,755)(11949,9728,750)]
[(11960,9573,758)(11949,9728,750)(12288,9557,749)]
[(12288,9557,749)(11960,9557,749)(11960,9573,758)]
[(11941,9736,750)(11925,9736,745)(11925,10240,745)]
[(12288,9557,749)(11949,9728,750)(11941,9736,750)]
[(12288,9557,749)(11941,9736,750)(11925,10240,745)]
[(12288,9557,749)(11925,10240,745)(12288,10240,745)]
[(12424,9573,758)(12424,9557,749)(12288,9557,749)]
[(12435,9581,755)(12424,9573,758)(12288,9557,749)]
[(12435,9581,755)(12288,9557,749)(12435,9728,750)]
[(12288,10240,745)(12501,10240,745)(12435,9728,750)]
[(12288,10240,745)(12435,9728,750)(12288,9557,749)]
[(12501,10240,745)(12501,9736,745)(12443,9736,750)]
[(12501,10240,745)(12443,9736,750)(12435,9728,750)]
[(11925,10923,745)(12288,10923,745)(12288,10240,745)]
[(11925,10923,745)(12288,10240,745)(11925,10240,745)]
[(12288,10923,745)(12501,10923,745)(12501,10240,745)]
[(12288,10923,745)(12501,10240,745)(12288,10240,745)]
[(11605,11605,745)(11605,11416,745)(11512,11461,745)]
[(11605,11605,745)(11512,11461,745)(11371,11605,745)]
[(11917,11261,745)(11907,11261,745)(11605,11416,745)]
[(11917,11261,745)(11605,11416,745)(11605,11605,745)]
[(12288,10923,745)(11925,10923,745)(11925,11253,745)]
[(11925,11253,745)(11917,11261,745)(11605,11605,745)]
[(11925,11253,745)(11605,11605,745)(12288,11605,745)]
[(11925,11253,745)(12288,11605,745)(12288,10923,745)]
[(12501,11211,745)(12501,10923,745)(12288,10923,745)]
[(12501,11211,745)(12288,10923,745)(12288,11605,745)]
[(12971,11605,745)(12971,11357,745)(12787,11261,745)]
[(12971,11605,745)(12787,11261,745)(12509,11219,745)]
[(12971,11605,745)(12509,11219,745)(12288,11605,745)]
[(12509,11219,745)(12501,11211,745)(12288,11605,745)]
[(12971,11605,745)(13320,11605,745)(13179,11461,745)]
[(12971,11605,745)(13179,11461,745)(12971,11357,745)]
[(11011,12155,745)(11003,12163,745)(10984,12288,745)]
[(11605,11605,745)(11371,11605,745)(11203,11771,745)]
[(11605,11605,745)(11203,11771,745)(11011,12155,745)]
[(11605,11605,745)(11011,12155,745)(10984,12288,745)]
