{
[(33385,8960,2025)(33451,8960,2025)(33451,8834,2025)]
[(33451,8960,2025)(33385,8960,2025)(33355,9018,2025)]
[(33355,9441,2025)(33416,9557,2025)(33451,9557,2025)]
[(33355,9441,2025)(33451,9557,2025)(33451,8960,2025)]
[(33355,9441,2025)(33451,8960,2025)(33355,9018,2025)]
[(33355,9441,2025)(33355,9018,2025)(33322,9238,2025)]
[(33451,9623,2025)(33451,9557,2025)(33416,9557,2025)]
[(33593,8687,2025)(33451,8829,2025)(33451,8834,2025)]
[(34048,8566,2025)(33992,8556,2025)(33784,8589,2025)]
[(33593,8687,2025)(33451,8834,2025)(33451,8960,2025)]
[(33593,8687,2025)(33451,8960,2025)(34048,8960,2025)]
[(33593,8687,2025)(34048,8960,2025)(34048,8566,2025)]
[(33593,8687,2025)(34048,8566,2025)(33784,8589,2025)]
[(33451,9557,2025)(34048,9557,2025)(34048,8960,2025)]
[(33451,9557,2025)(34048,8960,2025)(33451,8960,2025)]
[(33451,9623,2025)(33451,9627,2025)(33595,9772,2025)]
[(33451,9557,2025)(33451,9623,2025)(33595,9772,2025)]
[(33782,9868,2025)(33983,9900,2025)(34048,9893,2025)]
[(33782,9868,2025)(34048,9893,2025)(34048,9557,2025)]
[(33782,9868,2025)(34048,9557,2025)(33451,9557,2025)]
[(33782,9868,2025)(33451,9557,2025)(33595,9772,2025)]
[(34601,8960,2025)(34538,8832,2025)(34391,8685,2025)]
[(34601,8960,2025)(34391,8685,2025)(34202,8589,2025)]
[(34601,8960,2025)(34202,8589,2025)(34048,8566,2025)]
[(34601,8960,2025)(34048,8566,2025)(34048,8960,2025)]
[(34571,9557,2025)(34585,9529,2025)(34645,9107,2025)]
[(34571,9557,2025)(34645,9107,2025)(34601,8960,2025)]
[(34571,9557,2025)(34601,8960,2025)(34048,8960,2025)]
[(34571,9557,2025)(34048,8960,2025)(34048,9557,2025)]
[(34585,9529,2025)(34599,9513,2025)(34645,9107,2025)]
[(34599,9513,2025)(34606,9513,2027)(34645,9107,2025)]
[(34645,9107,2025)(34634,9018,2025)(34601,8960,2025)]
[(34606,9513,2027)(34610,9525,2026)(34645,9529,2010)]
[(34606,9513,2027)(34645,9529,2010)(34645,9107,2025)]
[(34393,9772,2025)(34538,9627,2025)(34571,9557,2025)]
[(34393,9772,2025)(34571,9557,2025)(34048,9557,2025)]
[(34393,9772,2025)(34048,9557,2025)(34048,9893,2025)]
[(34393,9772,2025)(34048,9893,2025)(34207,9868,2025)]
[(35243,8960,1950)(35243,8708,1950)(34818,8666,1950)]
[(35243,8960,1950)(34818,8666,1950)(34790,8960,1950)]
[(34764,9156,1979)(34755,9156,1984)(34722,9539,1975)]
[(34764,9156,1979)(34722,9539,1975)(34732,9548,1969)]
[(35243,8960,1950)(34790,8960,1950)(34774,9137,1950)]
[(34771,9149,1977)(34732,9548,1969)(34732,9557,1950)]
[(34771,9149,1977)(34732,9557,1950)(35243,9557,1950)]
[(34771,9149,1977)(35243,9557,1950)(35243,8960,1950)]
[(34771,9149,1977)(35243,8960,1950)(34774,9137,1950)]
[(34771,9149,1977)(34764,9156,1979)(34732,9548,1969)]
[(34645,9529,2010)(34722,9539,1975)(34755,9156,1984)]
[(34645,9529,2010)(34755,9156,1984)(34657,9142,2027)]
[(34645,9529,2010)(34650,9135,2025)(34645,9107,2025)]
[(34645,9529,2010)(34657,9142,2027)(34650,9135,2025)]
[(35243,10155,1950)(35243,9557,1950)(34732,9557,1950)]
[(35243,10155,1950)(34732,9557,1950)(34671,10155,1950)]
[(35040,10353,1950)(35243,10677,1950)(35243,10155,1950)]
[(34671,10155,1950)(34657,10316,1950)(35040,10353,1950)]
[(34671,10155,1950)(35040,10353,1950)(35243,10155,1950)]
[(35243,8960,1950)(35840,8960,1950)(35840,8766,1950)]
[(35243,8960,1950)(35840,8766,1950)(35243,8708,1950)]
[(35243,9557,1950)(35840,9557,1950)(35840,8960,1950)]
[(35243,9557,1950)(35840,8960,1950)(35243,8960,1950)]
[(35243,10155,1950)(35840,10155,1950)(35840,9557,1950)]
[(35243,10155,1950)(35840,9557,1950)(35243,9557,1950)]
[(35243,10155,1950)(35243,10677,1950)(35289,10752,1950)]
[(35243,10155,1950)(35289,10752,1950)(35840,10752,1950)]
[(35243,10155,1950)(35840,10752,1950)(35840,10155,1950)]
[(35658,11349,1950)(35840,11349,1950)(35840,10752,1950)]
[(35658,11349,1950)(35840,10752,1950)(35289,10752,1950)]
[(35840,11643,1950)(35840,11349,1950)(35658,11349,1950)]
[(35824,44203,628)(35840,44203,628)(35840,44186,628)]
[(35840,44203,628)(35824,44203,628)(35660,44364,628)]
[(35840,44203,628)(35660,44364,628)(35441,44800,628)]
[(35840,44203,628)(35441,44800,628)(35840,44800,628)]
[(35840,44800,628)(35441,44800,628)(35359,44954,628)]
[(35840,44800,628)(35359,44954,628)(35289,45397,628)]
[(35840,44800,628)(35289,45397,628)(35840,45397,628)]
[(35289,45397,628)(35254,45617,628)(35315,45995,628)]
[(35289,45397,628)(35315,45995,628)(35840,45995,628)]
[(35289,45397,628)(35840,45995,628)(35840,45397,628)]
[(35840,45995,628)(35315,45995,628)(35359,46272,628)]
[(35840,45995,628)(35359,46272,628)(35523,46592,628)]
[(35840,45995,628)(35523,46592,628)(35840,46592,628)]
[(35840,46592,628)(35523,46592,628)(35660,46863,628)]
[(35840,46592,628)(35660,46863,628)(35840,47040,628)]
[(35840,8960,1950)(36437,8960,1950)(36437,8827,1950)]
[(35840,8960,1950)(36437,8827,1950)(35840,8766,1950)]
[(35840,9557,1950)(36437,9557,1950)(36437,8960,1950)]
[(35840,9557,1950)(36437,8960,1950)(35840,8960,1950)]
[(35840,10155,1950)(36437,10155,1950)(36437,9557,1950)]
[(35840,10155,1950)(36437,9557,1950)(35840,9557,1950)]
[(35840,10752,1950)(36437,10752,1950)(36437,10155,1950)]
[(35840,10752,1950)(36437,10155,1950)(35840,10155,1950)]
[(35840,11349,1950)(36437,11349,1950)(36437,10752,1950)]
[(35840,11349,1950)(36437,10752,1950)(35840,10752,1950)]
[(35840,11709,1950)(35840,11711,1950)(35852,11730,1950)]
[(35840,11709,1950)(35852,11730,1950)(35992,11888,1950)]
[(35840,11709,1950)(35992,11888,1950)(35863,11688,1950)]
[(35863,11681,1950)(35863,11688,1950)(35992,11888,1950)]
[(35863,11681,1950)(35992,11888,1950)(36041,11947,1950)]
[(35992,11888,1950)(35994,11898,1950)(36041,11947,1950)]
[(35840,11349,1950)(35840,11643,1950)(35863,11681,1950)]
[(35840,11349,1950)(35863,11681,1950)(36041,11947,1950)]
[(35840,11349,1950)(36041,11947,1950)(36437,11947,1950)]
[(35840,11349,1950)(36437,11947,1950)(36437,11349,1950)]
