序列号	道具ID	消耗类型1(1货币、2道具、3consume)	货币ID1	价格1	次数限制ID	显示状态限制	购买状态限制	显示颜色（1红2蓝3青4紫99灰）	显示文字（1新品2稀有3极品4限时5绝版大量7超值8豪华9）	商品原价	商品特效	额外参数1	商品说明	限制说明
[K][C][S]id	[C][S]ItemId	[C][S]CostType1	[C][S]CoinId1	[C][S]Price1	[C][S]numLimt	[C][S]showLimt	[C][S]BuyLimt	[C]TRTagSprite	[C]showRedNode	[C]nameScript	[C][S]special_effect	[C][S]param1	没用	没用
1	400150100	1	204	500	0	80011006	80011006	0	0	0	0	0	神赐1级锐锋石	5转161级以上
2	400150101	1	204	333	0	80011006	80011006	0	0	0	0	0	神赐1级金刚石	5转161级以上
3	400150102	1	204	500	0	80011006	80011006	0	0	0	0	0	神赐1级燎原石	5转161级以上
4	400150103	1	204	333	0	80011006	80011006	0	0	0	0	0	神赐1级炼体石	5转161级以上
5	400150104	1	204	333	0	80011006	80011006	0	0	0	0	0	神赐1级心眼石	5转161级以上
6	400150105	1	204	500	0	80011006	80011006	0	0	0	0	0	神赐1级瞬影石	5转161级以上
7	400150106	1	204	333	0	80011006	80011006	0	0	0	0	0	神赐1级斩铁石	5转161级以上
8	400150107	1	204	500	0	80011006	80011006	0	0	0	0	0	神赐1级守御石	5转161级以上
9	400150108	1	204	500	0	80011006	80011006	0	0	0	0	0	神赐1级雷动石	5转161级以上
10	400150109	1	204	333	0	80011006	80011006	0	0	0	0	0	神赐1级冥思石	5转161级以上
11	400150110	1	204	667	0	80011006	80011006	0	0	0	0	0	神赐1级真武石	5转161级以上
12	400150111	1	204	667	0	80011006	80011006	0	0	0	0	0	神赐1级韬光石	5转161级以上
13	400150112	1	204	667	0	80011006	80011006	0	0	0	0	0	神赐1级混元石	5转161级以上
14	400150113	1	204	667	0	80011006	80011006	0	0	0	0	0	神赐1级虚谷石	5转161级以上
15	400150114	1	204	500	0	80011006	80011006	0	0	0	0	0	神赐1级无双石	5转161级以上
16	400150115	1	204	500	0	80011006	80011006	0	0	0	0	0	神赐1级太极石	5转161级以上
17	400140100	1	204	150	0	80011003	80011003	0	0	0	0	0	上古1级锐锋石	2转101级以上
18	400140101	1	204	100	0	80011003	80011003	0	0	0	0	0	上古1级金刚石	2转101级以上
19	400140102	1	204	150	0	80011003	80011003	0	0	0	0	0	上古1级燎原石	2转101级以上
20	400140103	1	204	100	0	80011003	80011003	0	0	0	0	0	上古1级炼体石	2转101级以上
21	400140104	1	204	100	0	80011003	80011003	0	0	0	0	0	上古1级心眼石	2转101级以上
22	400140105	1	204	150	0	80011003	80011003	0	0	0	0	0	上古1级瞬影石	2转101级以上
23	400140106	1	204	100	0	80011003	80011003	0	0	0	0	0	上古1级斩铁石	2转101级以上
24	400140107	1	204	150	0	80011003	80011003	0	0	0	0	0	上古1级守御石	2转101级以上
25	400140108	1	204	150	0	80011003	80011003	0	0	0	0	0	上古1级雷动石	2转101级以上
26	400140109	1	204	100	0	80011003	80011003	0	0	0	0	0	上古1级冥思石	2转101级以上
27	400140110	1	204	200	0	80011003	80011003	0	0	0	0	0	上古1级真武石	2转101级以上
28	400140111	1	204	200	0	80011003	80011003	0	0	0	0	0	上古1级韬光石	2转101级以上
29	400140112	1	204	200	0	80011003	80011003	0	0	0	0	0	上古1级混元石	2转101级以上
30	400140113	1	204	200	0	80011003	80011003	0	0	0	0	0	上古1级虚谷石	2转101级以上
31	400140114	1	204	150	0	80011003	80011003	0	0	0	0	0	上古1级无双石	2转101级以上
32	400140115	1	204	150	0	80011003	80011003	0	0	0	0	0	上古1级太极石	2转101级以上
33	400130100	1	204	45	0	0	0	0	0	0	0	0	1级锐锋石	#N/A
34	400130101	1	204	30	0	0	0	0	0	0	0	0	1级金刚石	#N/A
35	400130102	1	204	45	0	0	0	0	0	0	0	0	1级燎原石	#N/A
36	400130103	1	204	30	0	0	0	0	0	0	0	0	1级炼体石	#N/A
37	400130104	1	204	30	0	0	0	0	0	0	0	0	1级心眼石	#N/A
38	400130105	1	204	45	0	0	0	0	0	0	0	0	1级瞬影石	#N/A
39	400130106	1	204	30	0	0	0	0	0	0	0	0	1级斩铁石	#N/A
40	400130107	1	204	45	0	0	0	0	0	0	0	0	1级守御石	#N/A
41	400130108	1	204	45	0	0	0	0	0	0	0	0	1级雷动石	#N/A
42	400130109	1	204	30	0	0	0	0	0	0	0	0	1级冥思石	#N/A
43	400130110	1	204	60	0	0	0	0	0	0	0	0	1级真武石	#N/A
44	400130111	1	204	60	0	0	0	0	0	0	0	0	1级韬光石	#N/A
45	400130112	1	204	60	0	0	0	0	0	0	0	0	1级混元石	#N/A
46	400130113	1	204	60	0	0	0	0	0	0	0	0	1级虚谷石	#N/A
47	400130114	1	204	45	0	0	0	0	0	0	0	0	1级无双石	#N/A
48	400130115	1	204	45	0	0	0	0	0	0	0	0	1级太极石	#N/A
