序列号	道具ID	消耗类型1(1货币、2道具、3consume)	货币ID1	价格1	次数限制ID	显示状态限制	购买状态限制	显示颜色（1红2蓝3青4紫99灰）	显示文字（1新品2稀有3极品4限时5绝版6大量7超值8豪华）	商品原价	商品特效	额外参数1	商品说明	限制说明	折扣	次数说明
[K][C][S]id	[C][S]ItemId	[C][S]CostType1	[C][S]CoinId1	[C][S]Price1	[C][S]numLimt	[C][S]showLimt	[C][S]BuyLimt	[C]TRTagSprite	[C]showRedNode	[C]nameScript	[C][S]special_effect	[C][S]param1	没用	没用	没用	没用
1	324250003	1	204	6	633	0	90005170	4	7	60	0	0	师门折扣礼包（一）	天地异变处于一	0.1	每天20
2	324250003	1	204	6	634	0	90005171	4	7	60	0	0	师门折扣礼包（一）	天地异变处于二	0.1	每天20
3	324250004	1	204	10	634	0	90005172	4	7	105	0	0	师门折扣礼包（一）	天地异变处于三	0.1	每天20
4	324250005	1	204	20	634	0	90005173	4	7	200	0	0	师门折扣礼包（一）	天地异变处于四	0.1	每天20
5	324250006	1	204	40	634	0	90005174	4	7	400	0	0	师门折扣礼包（一）	天地异变处于五	0.1	每天20
6	324250007	1	204	60	634	0	90005175	4	7	600	0	0	师门折扣礼包（一）	天地异变处于六	0.1	每天20
7	324250008	1	204	97	634	0	90005176	4	7	975	0	0	师门折扣礼包（一）	天地异变处于七	0.1	每天20
8	324250009	1	204	140	634	0	90005177	4	7	1400	0	0	师门折扣礼包（一）	天地异变处于八	0.1	每天20
9	324250003	1	204	18	635	0	90005180	4	7	60	0	0	普通出师折扣礼包	天地异变处于一	0.3	每天15
10	324250004	1	204	31	636	0	90005181	4	7	105	0	0	普通出师折扣礼包	天地异变处于二	0.298412698	每天15
11	324250005	1	204	60	636	0	90005182	4	7	200	0	0	普通出师折扣礼包	天地异变处于三	0.3	每天15
12	324250006	1	204	120	636	0	90005183	4	7	400	0	0	普通出师折扣礼包	天地异变处于四	0.3	每天15
13	324250007	1	204	180	636	0	90005184	4	7	600	0	0	普通出师折扣礼包	天地异变处于五	0.3	每天15
14	324250008	1	204	292	636	0	90005185	4	7	975	0	0	普通出师折扣礼包	天地异变处于六	0.29982906	每天15
15	324250009	1	204	420	636	0	90005186	4	7	1400	0	0	普通出师折扣礼包	天地异变处于七	0.3	每天15
16	324250010	1	204	600	636	0	90005187	4	7	2000	0	0	普通出师折扣礼包	天地异变处于八	0.3	每天15
17	324250011	1	204	150	635	0	90005190	4	7	300	0	0	完美出师折扣礼包	天地异变处于一	0.5	每天10
18	324250012	1	204	270	636	0	90005191	4	7	540	0	0	完美出师折扣礼包	天地异变处于二	0.5	每天10
19	324250013	1	204	400	636	0	90005192	4	7	1000	0	0	完美出师折扣礼包	天地异变处于三	0.5	每天10
20	324250014	1	204	768	636	0	90005193	4	7	1920	0	0	完美出师折扣礼包	天地异变处于四	0.5	每天10
21	324250015	1	204	1280	636	0	90005194	4	7	3200	0	0	完美出师折扣礼包	天地异变处于五	0.5	每天10
22	324250016	1	204	2280	636	0	90005195	4	7	5700	0	0	完美出师折扣礼包	天地异变处于六	0.5	每天10
23	324250017	1	204	3520	636	0	90005196	4	7	8800	0	0	完美出师折扣礼包	天地异变处于七	0.5	每天3
24	324250018	1	204	5000	636	0	90005197	4	7	12500	0	0	完美出师折扣礼包	天地异变处于八	0.5	每天3
