序列号	道具ID	消耗类型1(1货币、2道具、3consume)	货币ID1	价格1	次数限制ID	显示状态限制	购买状态限制	显示颜色（1红2蓝3青4紫99灰）	显示文字（1新品2稀有3极品4限时5绝版大量7超值【会显示为具体几折，而不是显示超值】8豪华9）	商品原价	商品特效	额外参数1	商品说明	显示限制
[K][C][S]id	[C][S]ItemId	[C][S]CostType1	[C][S]CoinId1	[C][S]Price1	[C][S]numLimt	[C][S]showLimt	[C][S]BuyLimt	[C]TRTagSprite	[C]showRedNode	[C]nameScript	[C][S]special_effect	[C][S]param1	没用	没用
1	400700100	1	204	3500	0	41005423	41005422	0	0	3500	0	0	武器神力结晶	不限
2	400700101	1	204	3500	0	41005418	41005418	0	0	3500	0	0	衣服神力结晶	不限
3	400700102	1	204	3500	0	41005420	41005420	0	0	3500	0	0	腰带神力结晶	不限
4	400700103	1	204	3500	0	41005419	41005419	0	0	3500	0	0	裤子神力结晶	不限
5	400700104	1	204	3500	0	41005422	41005422	0	0	3500	0	0	护腕神力结晶	不限
6	400700105	1	204	3500	0	41005418	41005418	0	0	3500	0	0	项链神力结晶	不限
7	400700106	1	204	3500	0	41005421	41005421	0	0	3500	0	0	戒指神力结晶	不限
8	400700107	1	204	3500	0	41005422	41005422	0	0	3500	0	0	护肩神力结晶	不限
9	400700108	1	204	3500	0	41005422	41005422	0	0	3500	0	0	帽子神力结晶	不限
10	400700109	1	204	3500	0	41005422	41005422	0	0	3500	0	0	鞋子神力结晶	不限
11	400800100	1	204	3500	0	41005423	41005422	0	0	3500	0	0	铸神之石	不限
12	321430020	1	204	28000	0	41005422	41005422	0	0	28000	0	0	[未鉴定]二阶武器神器	不限
13	321431020	1	204	28000	0	41005418	41005418	0	0	28000	0	0	[未鉴定]二阶衣服神器	不限
14	321432020	1	204	28000	0	41005420	41005420	0	0	28000	0	0	[未鉴定]二阶腰带神器	不限
15	321433020	1	204	28000	0	41005419	41005419	0	0	28000	0	0	[未鉴定]二阶裤子神器	不限
16	321434020	1	204	28000	0	41005422	41005422	0	0	28000	0	0	[未鉴定]二阶护腕神器	不限
17	321435020	1	204	28000	0	41005418	41005418	0	0	28000	0	0	[未鉴定]二阶项链神器	不限
18	321436020	1	204	28000	0	41005421	41005421	0	0	28000	0	0	[未鉴定]二阶戒指神器	不限
19	321437020	1	204	28000	0	41005422	41005422	0	0	28000	0	0	[未鉴定]二阶护肩神器	不限
20	321438020	1	204	28000	0	41005422	41005422	0	0	28000	0	0	[未鉴定]二阶帽子神器	不限
21	321439020	1	204	28000	0	41005422	41005422	0	0	28000	0	0	[未鉴定]二阶鞋子神器	不限
22	400700100	1	204	2800	0	41005424	41005407	0	0	3500	0	0	武器神力结晶	不限
