序列号	道具ID	消耗类型1(1货币、2道具、3consume)	货币ID1	价格1	次数限制ID	显示状态限制	购买状态限制	显示颜色（1红2蓝3青4紫99灰）	显示文字（1新品2稀有3极品4限时5绝版大量7超值【会显示为具体几折，而不是显示超值】8豪华9）	商品原价	商品特效	额外参数1	商品说明	限制说明
[K][C][S]id	[C][S]ItemId	[C][S]CostType1	[C][S]CoinId1	[C][S]Price1	[C][S]numLimt	[C][S]showLimt	[C][S]BuyLimt	[C]TRTagSprite	[C]showRedNode	[C]nameScript	[C][S]special_effect	[C][S]param1	没用	没用
1	410900400	2	410900300	20	0	0	0	0	0	0	0	0	高级灵宠币	#N/A
2	410560001	2	410900400	25	0	90005114	0	0	0	0	0	0	[信物]正天雷魔	#N/A
3	410560002	2	410900400	25	0	0	0	0	0	0	0	0	[信物]异域圣使	#N/A
4	410560003	2	410900400	25	0	0	0	0	0	0	0	0	[信物]笑天	#N/A
5	410560004	2	410900400	25	0	70007101	0	0	0	0	0	0	[信物]御刃	#N/A
6	410560005	2	410900400	25	0	70007201	0	0	0	0	0	0	[信物]猪财怪	#N/A
7	410560006	2	410900400	25	0	90005112	0	0	0	0	0	0	[信物]西海龙女	#N/A
8	410560007	2	410900400	25	0	0	90009007	0	0	0	0	0	[信物]末日使徒	拥有才能购买
9	410560008	2	410900400	25	0	0	90009008	0	0	0	0	0	[信物]幽灵虎	拥有才能购买
10	410560009	2	410900400	25	0	90005114	0	0	0	0	0	0	[信物]暴走兔	#N/A
11	410560010	2	410900400	25	0	90005114	0	0	0	0	0	0	[信物]万古尸王	#N/A
12	410540001	2	410900300	50	0	90005112	0	0	0	0	0	0	[信物]离火灵巫	#N/A
13	410540002	2	410900300	50	0	0	90009102	0	0	0	0	0	[信物]牛魔王	拥有才能购买
14	410540003	2	410900300	50	0	90005112	0	0	0	0	0	0	[信物]化灵魔菇	#N/A
15	410540004	2	410900300	50	0	90005112	90009104	0	0	0	0	0	[信物]金刚	拥有才能购买
16	410540005	2	410900300	50	0	70007100	0	0	0	0	0	0	[信物]蝶仙	#N/A
17	410540006	2	410900300	50	0	0	0	0	0	0	0	0	[信物]松鼠小伞	#N/A
18	410540007	2	410900300	50	0	0	90009107	0	0	0	0	0	[信物]魅惑狐仙	拥有才能购买
19	410540008	2	410900300	50	0	0	90009108	0	0	0	0	0	[信物]冰冥女巫	拥有才能购买
20	410540009	2	410900300	50	0	90005112	0	0	0	0	0	0	[信物]花蝶妖精	#N/A
21	410540010	2	410900300	50	0	0	90009110	0	0	0	0	0	[信物]垂耳毛球	拥有才能购买
22	410560011	2	410900400	25	0	70007300	90009011	0	0	0	0	0	[信物]年兽少女	拥有才能购买
23	410540011	2	410900300	50	0	70007300	90009111	0	0	0	0	0	[信物]醒狮	拥有才能购买
24	410540021	2	410900300	50	0	70007300	90009112	0	0	0	0	0	[信物]爱神	拥有才能购买
