商店ID	商店类型(0普通商店、1刷新商店、2后台商店)	消耗类型1（1货币、2道具）	货币ID1(货币枚举：1感悟，2军功，3威望，4主播频道礼券，5贡献，6体力，7神识，8学分，9荣誉，11师德，200经验,201星辉，202金币，203绑金，204元宝，205绑元)	消耗类型2	货币类型2	商店组ID（一个组最多只能包含5个商店）	切页顺序（0~4）	刷新消耗	刷新次数限制ID	商品组1数量	商品组2数量	商品组3数量	商品组4数量	商店切页状态限制	商店名	折扣（该商店里的价格字段乘以该表的折扣字段百分比数值{80代表8折}来作为该商店价格字段的最终值并发给客户端，0为无）	折扣时间（这个整体折扣开始的时间限制ID，0表示不开启折扣）
[K][C][S]ShopId	[C][S]ShopType	[C][S]CostType1	[C][S]CoinId1	[C][S]CostType2	[C][S]CoinId2	[C]shopGroup	[C]Order	[C][S]consume_id_	[C][S]num_restrict_id_	[C][S]fresh_num	[S]fresh_num_2	[S]fresh_num_3	[S]fresh_num_4	[C]VisibleLimitID	[C]Name	[S]discount	[S]time
3	1	1	5	0	0	0	0	0	0	2	3	1	25	0	帮贡商店	0	0
4	0	2	410900300	2	410900400	4	0	0	0	0	0	0	0	0	灵宠坊-珍兽	0	0
5	0	2	300500009	0	0	5	0	0	0	0	0	0	0	0	霓裳坊-时装	0	0
6	0	2	410900300	2	410900400	4	1	0	0	0	0	0	0	0	灵宠坊-灵兽	0	0
7	0	2	300500009	0	0	5	1	0	0	0	0	0	0	0	霓裳坊-坐骑	0	0
8	0	2	300500009	0	0	5	1	0	0	0	0	0	0	0	霓裳坊-武器	0	0
9	0	2	300500009	0	0	5	1	0	0	0	0	0	0	0	霓裳坊-灵宝	0	0
10	0	1	205	0	0	3	1	0	0	0	0	0	0	0	绑元商城-限量折扣	90	2052201
11	0	1	204	0	0	2	1	0	0	0	0	0	0	0	元宝商城-限量折扣	80	2052201
12	0	1	205	0	0	3	2	0	0	0	0	0	0	0	绑元商城-常用	90	2052201
13	0	1	204	1	205	0	0	0	0	0	0	0	0	0	成长礼包	0	0
14	0	1	204	0	0	2	2	0	0	0	0	0	0	0	元宝商城-常用	80	2052201
15	0	1	204	0	0	2	3	0	0	0	0	0	0	0	元宝商城-宝石	0	0
16	0	1	204	0	0	2	4	0	0	0	0	0	0	0	元宝商城-兽诀	0	0
21	0	1	205	0	0	3	0	0	0	0	0	0	0	0	绑元商城-限时特惠	0	0
22	0	1	11	0	0	6	5	0	0	0	0	0	0	0	情义商店	0	0
23	0	1	204	0	0	0	0	0	0	0	0	0	0	0	徒弟商店	0	0
24	0	2	300500012	0	0	0	0	0	0	0	0	0	0	0	积分商店	0	0
25	0	1	204	0	0	0	0	0	0	0	0	0	0	0	限时特惠（活动）	0	0
26	0	1	204	0	0	0	0	0	0	0	0	0	0	0	神器商城	0	0
