1.0.0|1.0.0|142115
1.0.1|1.0.2|52159
1.0.30|1.0.31|12348770
1.0.31|1.0.32|12482737
1.1.2|1.1.2|474839900
2.0.1|2.0.2|61691
2.0.2|2.0.3|70381
2.0.3|2.0.4|213803
2.0.4|2.0.5|725534
2.0.5|2.0.6|672915
2.0.6|2.0.7|717845
2.0.7|2.0.8|717549
2.0.8|2.0.9|87121
2.0.9|2.0.10|1811958
2.0.10|2.0.11|144994
2.0.11|2.0.12|57555
2.0.12|2.0.13|849715
2.0.13|2.0.14|53924
2.0.14|2.0.15|4303988
2.0.15|2.0.16|331472
2.0.16|2.0.17|1929258
2.0.17|2.0.18|68545
2.0.18|2.0.19|57027
2.0.19|2.0.20|100153
2.0.20|2.0.21|66951
2.0.21|2.0.22|54926
2.0.22|2.0.23|40658881
2.0.23|2.0.24|56693
2.0.24|2.0.25|65532
9.9.9|9.9.10|72710
8.8.8|8.8.9|65799961
8.8.9|8.8.10|1344769
8.8.10|8.8.11|25055533
8.8.11|8.8.12|1866922
8.8.12|8.8.13|3307846
8.8.13|8.8.14|761907
8.8.14|8.8.15|1027151
8.8.15|8.8.16|118563128
8.8.16|8.8.17|87635
8.8.17|8.8.18|91280
8.8.18|8.8.19|1302496
8.8.19|8.8.20|633337
8.8.20|8.8.21|276111
8.8.21|8.8.22|104472
8.8.22|8.8.24|12795997
8.8.24|8.8.25|1289242
8.8.25|8.8.26|847759
8.8.26|8.8.27|194104
8.8.27|8.8.28|194777
8.8.28|8.8.29|670640
8.8.29|8.8.30|1418501
8.8.30|8.8.31|97855
8.8.31|8.8.32|138962
8.8.32|8.8.33|88383
8.8.33|8.8.34|83975
8.8.34|8.8.35|131505
8.8.35|8.8.36|296038
8.8.36|8.8.37|296038
8.8.37|8.8.38|1419192
8.8.38|8.8.39|128015
8.8.39|8.8.40|1373202
8.8.40|8.8.41|146088
8.8.41|8.8.42|24092462
8.8.42|8.8.43|1043606
8.8.43|8.8.44|184215
8.8.44|8.8.45|92635
8.8.45|8.8.46|2517035
8.8.46|8.8.47|2224974
8.8.47|8.8.48|116578
8.8.48|8.8.49|1206345
8.8.49|8.8.50|92621
8.8.50|8.8.51|92620
8.8.51|8.8.52|175687
8.8.52|8.8.53|54758301
8.8.53|8.8.54|57424
8.8.54|8.8.55|61213
8.8.55|8.8.56|87492
8.8.56|8.8.57|5565930
8.8.57|8.8.58|34476992
8.8.58|8.8.59|58978
8.8.59|8.8.60|5809583
8.8.60|8.8.61|3344186
8.8.61|8.8.62|4586
8.8.62|8.8.63|28549688
8.8.63|8.8.64|109318
8.8.64|8.8.65|6130740
8.8.65|8.8.66|10944206
8.8.66|8.8.67|6274068
8.8.67|8.8.68|63286169
